[rosmaster.main][INFO] 2025-06-14 21:48:46,081: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-14 21:48:46,081: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-14 21:48:46,082: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-14 21:48:46,082: Started XML-RPC server [http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-14 21:48:46,082: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-14 21:48:46,082: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-14 21:48:46,180: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-14 21:48:46,181: +PARAM [/roslaunch/uris/host_192_168_1_124__44325] by /roslaunch
[rosmaster.master][INFO] 2025-06-14 21:48:46,211: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-14 21:48:46,211: +PARAM [/joint_state_publisher/use_gui] by /roslaunch
[rosmaster.master][INFO] 2025-06-14 21:48:46,212: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-14 21:48:46,212: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2025-06-14 21:48:46,212: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-14 21:48:46,215: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:44239/
[rosmaster.master][INFO] 2025-06-14 21:48:46,215: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:44239/
[rosmaster.master][INFO] 2025-06-14 21:48:46,227: +SUB [/clock] /rosout http://192.168.1.124:44239/
[rosmaster.master][INFO] 2025-06-14 21:48:46,227: +PUB [/rosout_agg] /rosout http://192.168.1.124:44239/
[rosmaster.master][INFO] 2025-06-14 21:48:46,232: +SUB [/rosout] /rosout http://192.168.1.124:44239/
[rosmaster.master][INFO] 2025-06-14 21:48:46,242: +PUB [/rosout] /robot_state_publisher http://192.168.1.124:43965/
