[rosmaster.main][INFO] 2025-06-07 21:57:03,779: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-07 21:57:03,779: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-07 21:57:03,780: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-07 21:57:03,780: Started XML-RPC server [http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-07 21:57:03,780: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-07 21:57:03,780: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-07 21:57:03,889: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,890: +PARAM [/roslaunch/uris/host_192_168_1_124__34297] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,922: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,922: +PARAM [/move_base/TrajectoryPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,922: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,923: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,923: +PARAM [/move_base/global_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,923: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:44167/
[rosmaster.master][INFO] 2025-06-07 21:57:03,923: +PARAM [/move_base/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,923: +PARAM [/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,924: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:44167/
[rosmaster.master][INFO] 2025-06-07 21:57:03,924: +PARAM [/move_base/global_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,924: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,924: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,925: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,925: +PARAM [/move_base/global_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,925: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,925: +PUB [/rosout_agg] /rosout http://192.168.1.124:44167/
[rosmaster.master][INFO] 2025-06-07 21:57:03,925: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,926: +PARAM [/amcl/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,926: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,926: +PARAM [/move_base/global_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,926: +PARAM [/move_base/TrajectoryPlannerROS/pdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,926: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,926: +PARAM [/move_base/TrajectoryPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,926: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,927: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,927: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,927: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,927: +PARAM [/move_base/base_global_planner] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,927: +PARAM [/move_base/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,928: +PARAM [/move_base/local_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,928: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,928: +PARAM [/move_base/TrajectoryPlannerROS/vtheta_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,928: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,928: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,928: +PARAM [/move_base/global_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,929: +PARAM [/move_base/local_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,929: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,929: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-07 21:57:03,929: +PARAM [/move_base/global_costmap/map_type] by /roslaunch
