[rosmaster.main][INFO] 2017-05-22 12:29:50,903: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-05-22 12:29:50,903: Starting ROS Master Node
[xmlrpc][INFO] 2017-05-22 12:29:50,904: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-05-22 12:29:50,904: Started XML-RPC server [http://udacity:11311/]
[xmlrpc][INFO] 2017-05-22 12:29:50,905: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-05-22 12:29:50,905: Master initialized: port[11311], uri[http://udacity:11311/]
[rosmaster.master][INFO] 2017-05-22 12:29:50,972: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:29:50,976: +PARAM [/roslaunch/uris/host_udacity__33303] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:29:51,047: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:29:51,048: +PARAM [/target_description] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:29:51,048: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:29:51,048: +PARAM [/target_spawn/select_target_spawn] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:29:51,053: +SERVICE [/rosout/get_loggers] /rosout http://udacity:39521/
[rosmaster.master][INFO] 2017-05-22 12:29:51,053: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:39521/
[rosmaster.master][INFO] 2017-05-22 12:29:51,060: +PUB [/rosout_agg] /rosout http://udacity:39521/
[rosmaster.master][INFO] 2017-05-22 12:29:51,063: +SUB [/rosout] /rosout http://udacity:39521/
[rosmaster.master][INFO] 2017-05-22 12:29:51,201: +PARAM [/target_drop_location] by /unnamed
[rosmaster.master][INFO] 2017-05-22 12:29:51,202: +PARAM [/target_spawn_location] by /unnamed
[rosmaster.master][INFO] 2017-05-22 12:29:51,203: +PARAM [/target_description_argument] by /unnamed
[rosmaster.master][INFO] 2017-05-22 12:29:53,613: +PARAM [/roslaunch/uris/host_udacity__33001] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:29:53,615: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:29:53,615: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:29:53,895: +PARAM [/roslaunch/uris/host_udacity__42865] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:29:53,914: +PARAM [/kuka_arm/arm_controller/gains/joint_2/d] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:29:53,914: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
