[rosmaster.main][INFO] 2025-06-24 20:54:00,705: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-24 20:54:00,705: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-24 20:54:00,706: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-24 20:54:00,706: Started XML-RPC server [http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-24 20:54:00,706: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-24 20:54:00,706: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-24 20:54:00,803: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:54:00,803: +PARAM [/roslaunch/uris/host_192_168_1_124__36429] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:54:00,833: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:54:00,833: +PARAM [/joint_state_publisher/use_gui] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:54:00,833: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:54:00,833: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:54:00,833: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:54:00,835: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:37371/
[rosmaster.master][INFO] 2025-06-24 20:54:00,836: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:37371/
[rosmaster.master][INFO] 2025-06-24 20:54:00,844: +SUB [/clock] /rosout http://192.168.1.124:37371/
[rosmaster.master][INFO] 2025-06-24 20:54:00,845: +PUB [/rosout_agg] /rosout http://192.168.1.124:37371/
[rosmaster.master][INFO] 2025-06-24 20:54:00,855: +SUB [/rosout] /rosout http://192.168.1.124:37371/
[rosmaster.master][INFO] 2025-06-24 20:54:00,856: +PUB [/rosout] /robot_state_publisher http://192.168.1.124:37457/
[rosmaster.master][INFO] 2025-06-24 20:54:00,860: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://192.168.1.124:37457/
[rosmaster.master][INFO] 2025-06-24 20:54:00,871: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://192.168.1.124:37457/
[rosmaster.master][INFO] 2025-06-24 20:54:00,892: +SUB [/clock] /robot_state_publisher http://192.168.1.124:37457/
[rosmaster.master][INFO] 2025-06-24 20:54:00,906: publisherUpdate[/rosout] -> http://192.168.1.124:37371/ ['http://192.168.1.124:37457/']
