[rosmaster.main][INFO] 2017-05-22 12:15:40,262: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-05-22 12:15:40,262: Starting ROS Master Node
[xmlrpc][INFO] 2017-05-22 12:15:40,263: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-05-22 12:15:40,264: Started XML-RPC server [http://udacity:11311/]
[xmlrpc][INFO] 2017-05-22 12:15:40,264: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-05-22 12:15:40,264: Master initialized: port[11311], uri[http://udacity:11311/]
[rosmaster.master][INFO] 2017-05-22 12:15:40,333: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:15:40,345: +PARAM [/roslaunch/uris/host_udacity__40089] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:15:40,400: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:15:40,400: +PARAM [/target_description] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:15:40,400: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:15:40,400: +PARAM [/target_spawn/select_target_spawn] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:15:40,406: +SERVICE [/rosout/get_loggers] /rosout http://udacity:45391/
[rosmaster.master][INFO] 2017-05-22 12:15:40,406: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:45391/
[rosmaster.master][INFO] 2017-05-22 12:15:40,416: +PUB [/rosout_agg] /rosout http://udacity:45391/
[rosmaster.master][INFO] 2017-05-22 12:15:40,419: +SUB [/rosout] /rosout http://udacity:45391/
[rosmaster.master][INFO] 2017-05-22 12:15:40,550: +PARAM [/target_drop_location] by /unnamed
[rosmaster.master][INFO] 2017-05-22 12:15:40,551: +PARAM [/target_spawn_location] by /unnamed
[rosmaster.master][INFO] 2017-05-22 12:15:40,552: +PARAM [/target_description_argument] by /unnamed
[rosmaster.master][INFO] 2017-05-22 12:15:42,974: +PARAM [/roslaunch/uris/host_udacity__34015] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:15:42,976: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:15:42,976: +PARAM [/rosdistro] by /roslaunch
