[rosmaster.main][INFO] 2025-06-03 18:27:17,334: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-03 18:27:17,334: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-03 18:27:17,335: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-03 18:27:17,335: Started XML-RPC server [http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-03 18:27:17,335: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-03 18:27:17,335: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-03 18:27:17,438: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-03 18:27:17,439: +PARAM [/roslaunch/uris/host_192_168_1_124__33029] by /roslaunch
[rosmaster.master][INFO] 2025-06-03 18:27:17,468: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-03 18:27:17,468: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-03 18:27:17,482: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:33451/
[rosmaster.master][INFO] 2025-06-03 18:27:17,482: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:33451/
[rosmaster.master][INFO] 2025-06-03 18:27:17,484: +PUB [/rosout_agg] /rosout http://192.168.1.124:33451/
[rosmaster.master][INFO] 2025-06-03 18:27:17,487: +SUB [/rosout] /rosout http://192.168.1.124:33451/
[rosmaster.master][INFO] 2025-06-03 18:27:19,185: -PUB [/rosout_agg] /rosout http://192.168.1.124:33451/
[rosmaster.master][INFO] 2025-06-03 18:27:19,186: -SUB [/rosout] /rosout http://192.168.1.124:33451/
[rosmaster.master][INFO] 2025-06-03 18:27:19,186: -SERVICE [/rosout/get_loggers] /rosout rosrpc://192.168.1.124:47369
[rosmaster.master][INFO] 2025-06-03 18:27:19,187: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://192.168.1.124:47369
[rosmaster.main][INFO] 2025-06-03 18:27:19,225: keyboard interrupt, will exit
[rosmaster.main][INFO] 2025-06-03 18:27:19,225: stopping master...
[rospy.core][INFO] 2025-06-03 18:27:19,225: signal_shutdown [atexit]
