[rosmaster.main][INFO] 2017-07-06 08:01:59,865: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-07-06 08:01:59,866: Starting ROS Master Node
[xmlrpc][INFO] 2017-07-06 08:01:59,867: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-07-06 08:01:59,867: Started XML-RPC server [http://udacity:11311/]
[xmlrpc][INFO] 2017-07-06 08:01:59,867: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-07-06 08:01:59,868: Master initialized: port[11311], uri[http://udacity:11311/]
[rosmaster.master][INFO] 2017-07-06 08:01:59,916: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:01:59,917: +PARAM [/roslaunch/uris/host_udacity__33807] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:01:59,970: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:01:59,971: +SERVICE [/rosout/get_loggers] /rosout http://udacity:35801/
[rosmaster.master][INFO] 2017-07-06 08:01:59,971: +PARAM [/target_description] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:01:59,972: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:01:59,972: +PARAM [/target_spawn/select_target_spawn] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:01:59,979: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:35801/
[rosmaster.master][INFO] 2017-07-06 08:01:59,986: +PUB [/rosout_agg] /rosout http://udacity:35801/
[rosmaster.master][INFO] 2017-07-06 08:01:59,991: +SUB [/rosout] /rosout http://udacity:35801/
[rosmaster.master][INFO] 2017-07-06 08:02:00,145: +PARAM [/target_drop_location] by /unnamed
[rosmaster.master][INFO] 2017-07-06 08:02:00,146: +PARAM [/target_spawn_location] by /unnamed
[rosmaster.master][INFO] 2017-07-06 08:02:00,148: +PARAM [/target_description_argument] by /unnamed
[rosmaster.master][INFO] 2017-07-06 08:02:02,523: +PARAM [/roslaunch/uris/host_udacity__36473] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,526: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,527: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,892: +PARAM [/roslaunch/uris/host_udacity__41715] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,919: +PARAM [/kuka_arm/arm_controller/gains/joint_2/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,919: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,919: +PARAM [/kuka_arm/arm_controller/gains/joint_1/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,919: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,919: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,919: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,920: +PARAM [/robot_description_kinematics/arm_group/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,920: +PARAM [/kuka_arm/arm_controller/gains/joint_2/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,920: +PARAM [/kuka_arm/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,920: +PARAM [/kuka_arm/arm_controller/gains/joint_1/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,920: +PARAM [/robot_description_planning/joint_limits/joint_3/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,920: +PARAM [/kuka_arm/arm_controller/gains/joint_2/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,920: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/max_degree] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,920: +PARAM [/kuka_arm/arm_controller/gains/joint_3/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,920: +PARAM [/robot_description_planning/joint_limits/joint_6/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,920: +PARAM [/kuka_arm/arm_controller/gains/joint_1/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,920: +PARAM [/move_group/planner_configs/FMTkConfigDefault/radius_multiplier] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,920: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:02:02,921: +PARAM [/robot_description_planning/joint_limits/joint_6/max_acceleration] by /roslaunch
