[rosmaster.main][INFO] 2025-06-10 19:23:38,132: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-10 19:23:38,132: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-10 19:23:38,133: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-10 19:23:38,133: Started XML-RPC server [http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-10 19:23:38,133: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-10 19:23:38,133: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-10 19:23:38,231: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,232: +PARAM [/roslaunch/uris/host_192_168_1_124__35265] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,264: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,265: +PARAM [/move_base/TrajectoryPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,265: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,265: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,265: +PARAM [/move_base/global_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,265: +PARAM [/move_base/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,265: +PARAM [/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,266: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:35169/
[rosmaster.master][INFO] 2025-06-10 19:23:38,266: +PARAM [/move_base/global_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,266: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,266: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,267: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:35169/
[rosmaster.master][INFO] 2025-06-10 19:23:38,267: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,267: +PARAM [/move_base/global_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,267: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,267: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,268: +PARAM [/amcl/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,268: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,268: +PARAM [/move_base/global_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,268: +PARAM [/move_base/TrajectoryPlannerROS/pdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,268: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,268: +PUB [/rosout_agg] /rosout http://192.168.1.124:35169/
[rosmaster.master][INFO] 2025-06-10 19:23:38,269: +PARAM [/move_base/TrajectoryPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,269: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,269: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,269: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,269: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,269: +PARAM [/move_base/base_global_planner] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,270: +PARAM [/move_base/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,270: +PARAM [/move_base/local_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,270: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,270: +PARAM [/move_base/TrajectoryPlannerROS/vtheta_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,270: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,271: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,271: +PARAM [/move_base/global_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,271: +PARAM [/move_base/local_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,271: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,271: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,272: +PARAM [/move_base/global_costmap/map_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,272: +PARAM [/move_base/TrajectoryPlannerROS/gdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,272: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,272: +SUB [/rosout] /rosout http://192.168.1.124:35169/
[rosmaster.master][INFO] 2025-06-10 19:23:38,273: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,273: +PARAM [/move_base/global_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,273: +PARAM [/amcl/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,273: +PARAM [/move_base/global_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,273: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,273: +PARAM [/move_base/local_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,273: +PARAM [/move_base/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,273: +PARAM [/move_base/global_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,273: +PARAM [/move_base/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,273: +PARAM [/move_base/debug] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,273: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,273: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,273: +PARAM [/move_base/local_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,273: +PARAM [/move_base/local_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,273: +PARAM [/move_base/global_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,273: +PARAM [/amcl/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,274: +PARAM [/move_base/TrajectoryPlannerROS/holonomic_robot] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,274: +PARAM [/move_base/global_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,274: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,274: +PARAM [/move_base/TrajectoryPlannerROS/min_in_place_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,274: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,274: +PARAM [/move_base/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,274: +PARAM [/move_base/base_local_planner] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,274: +PARAM [/amcl/initial_pose_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,274: +PARAM [/amcl/initial_pose_y] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,274: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,274: +PARAM [/move_base/local_costmap/map_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,274: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,274: +PARAM [/move_base/global_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,274: +PARAM [/move_base/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,274: +PARAM [/move_base/global_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,274: +PARAM [/move_base/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 19:23:38,291: +PUB [/rosout] /map_server http://192.168.1.124:43995/
[rosmaster.master][INFO] 2025-06-10 19:23:38,292: +SERVICE [/map_server/get_loggers] /map_server http://192.168.1.124:43995/
[rosmaster.master][INFO] 2025-06-10 19:23:38,293: +PUB [/rosout] /amcl http://192.168.1.124:41043/
[rosmaster.master][INFO] 2025-06-10 19:23:38,293: +SERVICE [/map_server/set_logger_level] /map_server http://192.168.1.124:43995/
[rosmaster.master][INFO] 2025-06-10 19:23:38,294: +SERVICE [/amcl/get_loggers] /amcl http://192.168.1.124:41043/
[rosmaster.master][INFO] 2025-06-10 19:23:38,295: +SERVICE [/amcl/set_logger_level] /amcl http://192.168.1.124:41043/
[rosmaster.master][INFO] 2025-06-10 19:23:38,299: +PUB [/rosout] /move_base http://192.168.1.124:41871/
[rosmaster.master][INFO] 2025-06-10 19:23:38,300: +SERVICE [/move_base/get_loggers] /move_base http://192.168.1.124:41871/
[rosmaster.master][INFO] 2025-06-10 19:23:38,301: +SERVICE [/move_base/set_logger_level] /move_base http://192.168.1.124:41871/
[rosmaster.master][INFO] 2025-06-10 19:23:38,307: +SUB [/tf] /move_base http://192.168.1.124:41871/
[rosmaster.master][INFO] 2025-06-10 19:23:38,311: +SUB [/tf_static] /move_base http://192.168.1.124:41871/
[rosmaster.master][INFO] 2025-06-10 19:23:38,328: +PUB [/tf] /amcl http://192.168.1.124:41043/
[rosmaster.master][INFO] 2025-06-10 19:23:38,333: +SUB [/tf] /amcl http://192.168.1.124:41043/
[rosmaster.master][INFO] 2025-06-10 19:23:38,333: publisherUpdate[/rosout] -> http://192.168.1.124:35169/ ['http://192.168.1.124:43995/']
[rosmaster.master][INFO] 2025-06-10 19:23:38,333: publisherUpdate[/tf] -> http://192.168.1.124:41871/ ['http://192.168.1.124:41043/']
[rosmaster.master][INFO] 2025-06-10 19:23:38,336: publisherUpdate[/rosout] -> http://192.168.1.124:35169/ ['http://192.168.1.124:43995/']: sec=0.00, result=[1, '', 0]
