[rosmaster.main][INFO] 2017-07-09 17:52:46,784: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-07-09 17:52:46,784: Starting ROS Master Node
[xmlrpc][INFO] 2017-07-09 17:52:46,786: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-07-09 17:52:46,786: Started XML-RPC server [http://udacity:11311/]
[xmlrpc][INFO] 2017-07-09 17:52:46,786: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-07-09 17:52:46,787: Master initialized: port[11311], uri[http://udacity:11311/]
[rosmaster.master][INFO] 2017-07-09 17:52:46,819: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:46,820: +PARAM [/roslaunch/uris/host_udacity__46251] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:46,870: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:46,870: +PARAM [/target_description] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:46,870: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:46,871: +PARAM [/target_spawn/select_target_spawn] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:46,880: +SERVICE [/rosout/get_loggers] /rosout http://udacity:35129/
[rosmaster.master][INFO] 2017-07-09 17:52:46,881: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:35129/
[rosmaster.master][INFO] 2017-07-09 17:52:46,883: +PUB [/rosout_agg] /rosout http://udacity:35129/
[rosmaster.master][INFO] 2017-07-09 17:52:46,888: +SUB [/rosout] /rosout http://udacity:35129/
[rosmaster.master][INFO] 2017-07-09 17:52:47,069: +PARAM [/target_drop_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 17:52:47,071: +PARAM [/target_spawn_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 17:52:47,072: +PARAM [/target_description_argument] by /unnamed
[rosmaster.master][INFO] 2017-07-09 17:52:49,419: +PARAM [/roslaunch/uris/host_udacity__42619] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,424: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,424: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,806: +PARAM [/roslaunch/uris/host_udacity__36525] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,840: +PARAM [/kuka_arm/arm_controller/gains/joint_2/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,840: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,840: +PARAM [/kuka_arm/arm_controller/gains/joint_1/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,840: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,840: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,840: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,840: +PARAM [/robot_description_kinematics/arm_group/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,840: +PARAM [/kuka_arm/arm_controller/gains/joint_2/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,841: +PARAM [/kuka_arm/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,841: +PARAM [/kuka_arm/arm_controller/gains/joint_1/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,841: +PARAM [/robot_description_planning/joint_limits/joint_3/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,841: +PARAM [/kuka_arm/arm_controller/gains/joint_2/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,841: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/max_degree] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,841: +PARAM [/kuka_arm/arm_controller/gains/joint_3/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,841: +PARAM [/robot_description_planning/joint_limits/joint_6/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,841: +PARAM [/kuka_arm/arm_controller/gains/joint_1/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,841: +PARAM [/move_group/planner_configs/FMTkConfigDefault/radius_multiplier] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,841: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,841: +PARAM [/robot_description_planning/joint_limits/joint_6/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,842: +PARAM [/move_group/planner_configs/BFMTkConfigDefault/cache_cc] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,842: +PARAM [/kuka_arm/arm_controller/gains/joint_5/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,842: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,842: +PARAM [/move_group/planner_configs/BiTRRTkConfigDefault/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,842: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/delay_collision_checking] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,842: +PARAM [/kuka_arm/arm_controller/gains/joint_4/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,842: +PARAM [/kuka_arm/gripper_controller/type] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,842: +PARAM [/kuka_arm/arm_controller/gains/joint_5/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,842: +PARAM [/robot_description_planning/joint_limits/right_gripper_finger_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,843: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,843: +PARAM [/kuka_arm/arm_controller/gains/joint_4/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,843: +PARAM [/kuka_arm/arm_controller/gains/joint_4/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,843: +PARAM [/move_group/planner_configs/PRMkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,843: +PARAM [/kuka_arm/arm_controller/gains/joint_5/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,843: +PARAM [/move_group/planner_configs/ESTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,843: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,843: +PARAM [/kuka_arm/gripper_controller/gains/left_gripper_finger_joint/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,843: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,844: +PARAM [/robot_description_planning/joint_limits/joint_4/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,844: +PARAM [/kuka_arm/arm_controller/gains/joint_3/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,844: +PARAM [/move_group/planner_configs/SPARSkConfigDefault/sparse_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,844: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/max_failures] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,844: +PARAM [/move_group/planner_configs/BiTRRTkConfigDefault/frountier_node_ratio] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,844: +PARAM [/move_group/planner_configs/PRMkConfigDefault/max_nearest_neighbors] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,844: +PARAM [/move_group/planner_configs/BiTRRTkConfigDefault/cost_threshold] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,844: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,844: +PARAM [/move_group/planning_scene_monitor/publish_state_updates] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,844: +PARAM [/move_group/planner_configs/LBTRRTkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,845: +PARAM [/robot_description_planning/joint_limits/joint_6/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,845: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,845: +PARAM [/move_group/planner_configs/FMTkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,845: +PARAM [/kuka_arm/gripper_controller/gains/left_gripper_finger_joint/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,845: +PARAM [/move_group/planner_configs/LBTRRTkConfigDefault/epsilon] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,845: +PARAM [/kuka_arm/arm_controller/state_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,845: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/min_degree] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,845: +PARAM [/robot_description_planning/joint_limits/joint_1/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,845: +PARAM [/robot_description_planning/joint_limits/left_gripper_finger_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,845: +PARAM [/kuka_arm/gripper_controller/gains/left_gripper_finger_joint/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,845: +PARAM [/kuka_arm/arm_controller/gains/joint_3/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,846: +PARAM [/robot_description_planning/joint_limits/joint_3/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:52:49,846: +PARAM [/move_group/planner_configs/BiESTkConfigDefault/range] by /roslaunch
