[rosmaster.main][INFO] 2017-07-09 18:00:09,550: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-07-09 18:00:09,550: Starting ROS Master Node
[xmlrpc][INFO] 2017-07-09 18:00:09,552: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-07-09 18:00:09,552: Started XML-RPC server [http://udacity:11311/]
[rosmaster.master][INFO] 2017-07-09 18:00:09,552: Master initialized: port[11311], uri[http://udacity:11311/]
[xmlrpc][INFO] 2017-07-09 18:00:09,552: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-07-09 18:00:09,600: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:09,602: +PARAM [/roslaunch/uris/host_udacity__39485] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:09,652: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:09,652: +PARAM [/target_description] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:09,653: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:09,653: +PARAM [/target_spawn/select_target_spawn] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:09,657: +SERVICE [/rosout/get_loggers] /rosout http://udacity:35541/
[rosmaster.master][INFO] 2017-07-09 18:00:09,658: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:35541/
[rosmaster.master][INFO] 2017-07-09 18:00:09,661: +PUB [/rosout_agg] /rosout http://udacity:35541/
[rosmaster.master][INFO] 2017-07-09 18:00:09,667: +SUB [/rosout] /rosout http://udacity:35541/
[rosmaster.master][INFO] 2017-07-09 18:00:09,825: +PARAM [/target_drop_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 18:00:09,827: +PARAM [/target_spawn_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 18:00:09,828: +PARAM [/target_description_argument] by /unnamed
[rosmaster.master][INFO] 2017-07-09 18:00:12,217: +PARAM [/roslaunch/uris/host_udacity__36619] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,221: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,221: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,597: +PARAM [/roslaunch/uris/host_udacity__46697] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,626: +PARAM [/kuka_arm/arm_controller/gains/joint_2/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,626: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,627: +PARAM [/kuka_arm/arm_controller/gains/joint_1/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,627: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,627: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,627: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,627: +PARAM [/robot_description_kinematics/arm_group/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,627: +PARAM [/kuka_arm/arm_controller/gains/joint_2/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,627: +PARAM [/kuka_arm/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,627: +PARAM [/kuka_arm/arm_controller/gains/joint_1/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,627: +PARAM [/robot_description_planning/joint_limits/joint_3/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,627: +PARAM [/kuka_arm/arm_controller/gains/joint_2/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,628: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/max_degree] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,628: +PARAM [/kuka_arm/arm_controller/gains/joint_3/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,628: +PARAM [/robot_description_planning/joint_limits/joint_6/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,628: +PARAM [/kuka_arm/arm_controller/gains/joint_1/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:00:12,628: +PARAM [/move_group/planner_configs/FMTkConfigDefault/radius_multiplier] by /roslaunch
