[rosmaster.main][INFO] 2017-05-22 12:30:40,267: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-05-22 12:30:40,267: Starting ROS Master Node
[xmlrpc][INFO] 2017-05-22 12:30:40,268: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-05-22 12:30:40,269: Started XML-RPC server [http://udacity:11311/]
[rosmaster.master][INFO] 2017-05-22 12:30:40,269: Master initialized: port[11311], uri[http://udacity:11311/]
[xmlrpc][INFO] 2017-05-22 12:30:40,269: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-05-22 12:30:40,323: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:30:40,325: +PARAM [/roslaunch/uris/host_udacity__43671] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:30:40,371: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:30:40,372: +PARAM [/target_description] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:30:40,372: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:30:40,372: +PARAM [/target_spawn/select_target_spawn] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:30:40,376: +SERVICE [/rosout/get_loggers] /rosout http://udacity:34971/
[rosmaster.master][INFO] 2017-05-22 12:30:40,380: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:34971/
[rosmaster.master][INFO] 2017-05-22 12:30:40,385: +PUB [/rosout_agg] /rosout http://udacity:34971/
[rosmaster.master][INFO] 2017-05-22 12:30:40,390: +SUB [/rosout] /rosout http://udacity:34971/
[rosmaster.master][INFO] 2017-05-22 12:30:40,527: +PARAM [/target_drop_location] by /unnamed
[rosmaster.master][INFO] 2017-05-22 12:30:40,528: +PARAM [/target_spawn_location] by /unnamed
[rosmaster.master][INFO] 2017-05-22 12:30:40,529: +PARAM [/target_description_argument] by /unnamed
[rosmaster.master][INFO] 2017-05-22 12:30:42,993: +PARAM [/roslaunch/uris/host_udacity__41979] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:30:42,995: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:30:42,995: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:30:43,335: +PARAM [/roslaunch/uris/host_udacity__46483] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:30:43,370: +PARAM [/kuka_arm/arm_controller/gains/joint_2/d] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:30:43,370: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:30:43,371: +PARAM [/kuka_arm/arm_controller/gains/joint_1/i] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:30:43,371: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:30:43,371: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:30:43,371: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:30:43,371: +PARAM [/robot_description_kinematics/arm_group/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:30:43,371: +PARAM [/kuka_arm/arm_controller/gains/joint_2/i] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:30:43,371: +PARAM [/kuka_arm/joint_state_controller/publish_rate] by /roslaunch
