[rosmaster.main][INFO] 2025-06-30 20:54:54,270: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-30 20:54:54,270: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-30 20:54:54,271: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-30 20:54:54,271: Started XML-RPC server [http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-30 20:54:54,271: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-30 20:54:54,271: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-30 20:54:54,357: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-30 20:54:54,358: +PARAM [/roslaunch/uris/host_192_168_1_124__35977] by /roslaunch
[rosmaster.master][INFO] 2025-06-30 20:54:54,394: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-30 20:54:54,394: +PARAM [/joint_state_publisher/use_gui] by /roslaunch
[rosmaster.master][INFO] 2025-06-30 20:54:54,394: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-30 20:54:54,394: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2025-06-30 20:54:54,394: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-30 20:54:54,397: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:41993/
[rosmaster.master][INFO] 2025-06-30 20:54:54,397: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:41993/
[rosmaster.master][INFO] 2025-06-30 20:54:54,401: +SUB [/clock] /rosout http://192.168.1.124:41993/
[rosmaster.master][INFO] 2025-06-30 20:54:54,408: +PUB [/rosout_agg] /rosout http://192.168.1.124:41993/
[rosmaster.master][INFO] 2025-06-30 20:54:54,418: +PUB [/rosout] /robot_state_publisher http://192.168.1.124:45687/
[rosmaster.master][INFO] 2025-06-30 20:54:54,421: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://192.168.1.124:45687/
[rosmaster.master][INFO] 2025-06-30 20:54:54,426: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://192.168.1.124:45687/
[rosmaster.master][INFO] 2025-06-30 20:54:54,426: +SUB [/rosout] /rosout http://192.168.1.124:41993/
[rosmaster.master][INFO] 2025-06-30 20:54:54,436: +SUB [/clock] /robot_state_publisher http://192.168.1.124:45687/
[rosmaster.master][INFO] 2025-06-30 20:54:54,439: +PUB [/tf] /robot_state_publisher http://192.168.1.124:45687/
[rosmaster.master][INFO] 2025-06-30 20:54:54,441: +PUB [/tf_static] /robot_state_publisher http://192.168.1.124:45687/
[rosmaster.master][INFO] 2025-06-30 20:54:54,456: +SUB [/joint_states] /robot_state_publisher http://192.168.1.124:45687/
[rosmaster.master][INFO] 2025-06-30 20:54:54,481: +PUB [/rosout] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,482: +SERVICE [/rviz/get_loggers] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,483: +SERVICE [/rviz/set_logger_level] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,486: +SUB [/clock] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,571: publisherUpdate[/rosout] -> http://192.168.1.124:41993/ ['http://192.168.1.124:45687/', 'http://192.168.1.124:37069/']
[rosmaster.master][INFO] 2025-06-30 20:54:54,572: publisherUpdate[/rosout] -> http://192.168.1.124:41993/ ['http://192.168.1.124:45687/', 'http://192.168.1.124:37069/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-30 20:54:54,585: +SUB [/tf] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,593: +SUB [/tf_static] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,623: +PUB [/initialpose] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,624: +PUB [/goal] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,640: +SUB [/map] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,642: +PUB [/rosout] /joint_state_publisher http://192.168.1.124:37081/
[rosmaster.master][INFO] 2025-06-30 20:54:54,645: +SUB [/clock] /joint_state_publisher http://192.168.1.124:37081/
[rosmaster.master][INFO] 2025-06-30 20:54:54,647: +SUB [/map_updates] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,648: +SERVICE [/joint_state_publisher/get_loggers] /joint_state_publisher http://192.168.1.124:37081/
[rosmaster.master][INFO] 2025-06-30 20:54:54,649: +SERVICE [/joint_state_publisher/set_logger_level] /joint_state_publisher http://192.168.1.124:37081/
[rosmaster.master][INFO] 2025-06-30 20:54:54,655: +SUB [/particlecloud] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,657: -PUB [/goal] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,659: -PUB [/initialpose] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,662: +PUB [/initialpose] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,663: +PUB [/goal] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,664: +PUB [/move_base_simple/goal] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,665: -PUB [/goal] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,666: +PUB [/clicked_point] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,671: +PUB [/joint_states] /joint_state_publisher http://192.168.1.124:37081/
[rosmaster.master][INFO] 2025-06-30 20:54:54,671: publisherUpdate[/rosout] -> http://192.168.1.124:41993/ ['http://192.168.1.124:45687/', 'http://192.168.1.124:37069/', 'http://192.168.1.124:37081/']
[rosmaster.master][INFO] 2025-06-30 20:54:54,672: publisherUpdate[/joint_states] -> http://192.168.1.124:45687/ ['http://192.168.1.124:37081/']
[rosmaster.master][INFO] 2025-06-30 20:54:54,673: publisherUpdate[/joint_states] -> http://192.168.1.124:45687/ ['http://192.168.1.124:37081/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-30 20:54:54,673: publisherUpdate[/rosout] -> http://192.168.1.124:41993/ ['http://192.168.1.124:45687/', 'http://192.168.1.124:37069/', 'http://192.168.1.124:37081/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-30 20:54:54,697: +SERVICE [/rviz/reload_shaders] /rviz http://192.168.1.124:37069/
[rosmaster.master][INFO] 2025-06-30 20:54:54,714: +PUB [/rosout] /gazebo_gui http://192.168.1.124:33585/
[rosmaster.master][INFO] 2025-06-30 20:54:54,714: +SERVICE [/gazebo_gui/get_loggers] /gazebo_gui http://192.168.1.124:33585/
[rosmaster.master][INFO] 2025-06-30 20:54:54,715: +SERVICE [/gazebo_gui/set_logger_level] /gazebo_gui http://192.168.1.124:33585/
[rosmaster.master][INFO] 2025-06-30 20:54:54,722: +SUB [/clock] /gazebo_gui http://192.168.1.124:33585/
[rosmaster.master][INFO] 2025-06-30 20:54:54,773: publisherUpdate[/rosout] -> http://192.168.1.124:41993/ ['http://192.168.1.124:45687/', 'http://192.168.1.124:37069/', 'http://192.168.1.124:37081/', 'http://192.168.1.124:33585/']
[rosmaster.master][INFO] 2025-06-30 20:54:54,773: publisherUpdate[/rosout] -> http://192.168.1.124:41993/ ['http://192.168.1.124:45687/', 'http://192.168.1.124:37069/', 'http://192.168.1.124:37081/', 'http://192.168.1.124:33585/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-30 20:54:54,904: +PUB [/rosout] /urdf_spawner http://192.168.1.124:35073/
[rosmaster.master][INFO] 2025-06-30 20:54:54,907: +SUB [/clock] /urdf_spawner http://192.168.1.124:35073/
[rosmaster.master][INFO] 2025-06-30 20:54:54,909: +SERVICE [/urdf_spawner/get_loggers] /urdf_spawner http://192.168.1.124:35073/
[rosmaster.master][INFO] 2025-06-30 20:54:54,911: +SERVICE [/urdf_spawner/set_logger_level] /urdf_spawner http://192.168.1.124:35073/
[rosmaster.master][INFO] 2025-06-30 20:54:54,974: publisherUpdate[/rosout] -> http://192.168.1.124:41993/ ['http://192.168.1.124:45687/', 'http://192.168.1.124:37069/', 'http://192.168.1.124:37081/', 'http://192.168.1.124:33585/', 'http://192.168.1.124:35073/']
[rosmaster.master][INFO] 2025-06-30 20:54:54,975: publisherUpdate[/rosout] -> http://192.168.1.124:41993/ ['http://192.168.1.124:45687/', 'http://192.168.1.124:37069/', 'http://192.168.1.124:37081/', 'http://192.168.1.124:33585/', 'http://192.168.1.124:35073/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-30 20:55:21,094: -PUB [/rosout] /rtabmap/rtabmapviz http://192.168.1.124:41799/
[rosmaster.master][INFO] 2025-06-30 20:55:21,095: -SUB [/clock] /rtabmap/rtabmapviz http://192.168.1.124:41799/
[rosmaster.master][INFO] 2025-06-30 20:55:21,103: -PUB [/rosout] /rtabmap/rtabmap http://192.168.1.124:38907/
[rosmaster.master][INFO] 2025-06-30 20:55:21,104: -SUB [/tf] /rtabmap/rtabmapviz http://192.168.1.124:41799/
[rosmaster.master][INFO] 2025-06-30 20:55:21,104: -PUB [/tf] /rtabmap/rtabmap http://192.168.1.124:38907/
[rosmaster.master][INFO] 2025-06-30 20:55:21,105: -SUB [/tf_static] /rtabmap/rtabmapviz http://192.168.1.124:41799/
