[rosmaster.main][INFO] 2017-07-09 18:29:04,810: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-07-09 18:29:04,810: Starting ROS Master Node
[xmlrpc][INFO] 2017-07-09 18:29:04,812: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-07-09 18:29:04,813: Master initialized: port[11311], uri[http://udacity:11311/]
[xmlrpc][INFO] 2017-07-09 18:29:04,813: Started XML-RPC server [http://udacity:11311/]
[xmlrpc][INFO] 2017-07-09 18:29:04,813: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-07-09 18:29:04,856: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:29:04,858: +PARAM [/roslaunch/uris/host_udacity__38333] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:29:04,912: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:29:04,912: +PARAM [/target_description] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:29:04,913: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:29:04,913: +PARAM [/target_spawn/select_target_spawn] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:29:04,916: +SERVICE [/rosout/get_loggers] /rosout http://udacity:39299/
[rosmaster.master][INFO] 2017-07-09 18:29:04,917: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:39299/
[rosmaster.master][INFO] 2017-07-09 18:29:04,920: +PUB [/rosout_agg] /rosout http://udacity:39299/
[rosmaster.master][INFO] 2017-07-09 18:29:04,929: +SUB [/rosout] /rosout http://udacity:39299/
[rosmaster.master][INFO] 2017-07-09 18:29:05,097: +PARAM [/target_drop_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 18:29:05,098: +PARAM [/target_spawn_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 18:29:05,099: +PARAM [/target_description_argument] by /unnamed
[rosmaster.master][INFO] 2017-07-09 18:29:07,460: +PARAM [/roslaunch/uris/host_udacity__33863] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:29:07,465: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:29:07,466: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:29:07,885: +PARAM [/roslaunch/uris/host_udacity__42519] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:29:07,911: +PARAM [/kuka_arm/arm_controller/gains/joint_2/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:29:07,912: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:29:07,912: +PARAM [/kuka_arm/arm_controller/gains/joint_1/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:29:07,912: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:29:07,912: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:29:07,912: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/stretch_factor] by /roslaunch
