[rosmaster.main][INFO] 2017-07-09 18:22:00,106: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-07-09 18:22:00,106: Starting ROS Master Node
[xmlrpc][INFO] 2017-07-09 18:22:00,107: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-07-09 18:22:00,108: Master initialized: port[11311], uri[http://udacity:11311/]
[xmlrpc][INFO] 2017-07-09 18:22:00,108: Started XML-RPC server [http://udacity:11311/]
[xmlrpc][INFO] 2017-07-09 18:22:00,108: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-07-09 18:22:00,145: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:22:00,147: +PARAM [/roslaunch/uris/host_udacity__41901] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:22:00,209: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:22:00,210: +PARAM [/target_description] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:22:00,210: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:22:00,210: +PARAM [/target_spawn/select_target_spawn] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:22:00,350: +SERVICE [/rosout/get_loggers] /rosout http://udacity:39337/
[rosmaster.master][INFO] 2017-07-09 18:22:00,351: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:39337/
[rosmaster.master][INFO] 2017-07-09 18:22:00,353: +PUB [/rosout_agg] /rosout http://udacity:39337/
[rosmaster.master][INFO] 2017-07-09 18:22:00,359: +SUB [/rosout] /rosout http://udacity:39337/
[rosmaster.master][INFO] 2017-07-09 18:22:00,648: +PARAM [/target_drop_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 18:22:00,649: +PARAM [/target_spawn_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 18:22:00,651: +PARAM [/target_description_argument] by /unnamed
[rosmaster.master][INFO] 2017-07-09 18:22:01,441: +PARAM [/roslaunch/uris/host_udacity__46339] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:22:01,444: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:22:01,444: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:22:02,089: +PARAM [/roslaunch/uris/host_udacity__34939] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:22:02,119: +PARAM [/kuka_arm/arm_controller/gains/joint_2/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:22:02,119: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:22:02,119: +PARAM [/kuka_arm/arm_controller/gains/joint_1/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:22:02,119: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:22:02,120: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:22:02,120: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:22:02,120: +PARAM [/robot_description_kinematics/arm_group/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:22:02,120: +PARAM [/kuka_arm/arm_controller/gains/joint_2/i] by /roslaunch
