[rosmaster.main][INFO] 2017-05-22 12:23:44,970: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-05-22 12:23:44,970: Starting ROS Master Node
[xmlrpc][INFO] 2017-05-22 12:23:44,971: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-05-22 12:23:44,971: Started XML-RPC server [http://udacity:11311/]
[xmlrpc][INFO] 2017-05-22 12:23:44,971: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-05-22 12:23:44,971: Master initialized: port[11311], uri[http://udacity:11311/]
[rosmaster.master][INFO] 2017-05-22 12:23:45,041: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:23:45,044: +PARAM [/roslaunch/uris/host_udacity__40393] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:23:45,099: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:23:45,099: +PARAM [/target_description] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:23:45,100: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:23:45,100: +PARAM [/target_spawn/select_target_spawn] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:23:45,104: +SERVICE [/rosout/get_loggers] /rosout http://udacity:40093/
[rosmaster.master][INFO] 2017-05-22 12:23:45,105: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:40093/
[rosmaster.master][INFO] 2017-05-22 12:23:45,106: +PUB [/rosout_agg] /rosout http://udacity:40093/
[rosmaster.master][INFO] 2017-05-22 12:23:45,108: +SUB [/rosout] /rosout http://udacity:40093/
[rosmaster.master][INFO] 2017-05-22 12:23:45,250: +PARAM [/target_drop_location] by /unnamed
[rosmaster.master][INFO] 2017-05-22 12:23:45,251: +PARAM [/target_spawn_location] by /unnamed
[rosmaster.master][INFO] 2017-05-22 12:23:45,252: +PARAM [/target_description_argument] by /unnamed
[rosmaster.master][INFO] 2017-05-22 12:23:57,751: -PUB [/rosout_agg] /rosout http://udacity:40093/
[rosmaster.master][INFO] 2017-05-22 12:23:57,751: -SUB [/rosout] /rosout http://udacity:40093/
[rosmaster.master][INFO] 2017-05-22 12:23:57,752: -SERVICE [/rosout/get_loggers] /rosout rosrpc://udacity:37467
[rosmaster.master][INFO] 2017-05-22 12:23:57,753: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://udacity:37467
[rosmaster.main][INFO] 2017-05-22 12:23:57,777: keyboard interrupt, will exit
[rosmaster.main][INFO] 2017-05-22 12:23:57,777: stopping master...
[rospy.core][INFO] 2017-05-22 12:23:57,777: signal_shutdown [atexit]
