[rosmaster.main][INFO] 2025-06-15 18:35:39,713: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-15 18:35:39,713: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-15 18:35:39,714: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-15 18:35:39,714: Started XML-RPC server [http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-15 18:35:39,714: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-15 18:35:39,714: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-15 18:35:39,812: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,813: +PARAM [/roslaunch/uris/host_192_168_1_124__44559] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,845: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,845: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,845: +PARAM [/move_base/TrajectoryPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,845: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,845: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,845: +PARAM [/move_base/global_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,845: +PARAM [/move_base/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,846: +PARAM [/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,846: +PARAM [/move_base/global_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,846: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,846: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:41973/
[rosmaster.master][INFO] 2025-06-15 18:35:39,846: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,846: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,847: +PARAM [/move_base/global_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,847: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,847: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:41973/
[rosmaster.master][INFO] 2025-06-15 18:35:39,847: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,847: +PARAM [/amcl/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,848: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,848: +PARAM [/move_base/global_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,848: +PARAM [/move_base/TrajectoryPlannerROS/pdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,848: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,848: +PARAM [/move_base/TrajectoryPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,848: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,849: +PUB [/rosout_agg] /rosout http://192.168.1.124:41973/
[rosmaster.master][INFO] 2025-06-15 18:35:39,849: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,849: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,849: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,850: +PARAM [/move_base/base_global_planner] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,850: +PARAM [/move_base/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,850: +PARAM [/move_base/local_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,850: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,850: +PARAM [/move_base/TrajectoryPlannerROS/vtheta_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,851: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,851: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,851: +PARAM [/move_base/global_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,851: +PARAM [/move_base/local_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,852: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,852: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,852: +PARAM [/move_base/global_costmap/map_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,852: +PARAM [/move_base/TrajectoryPlannerROS/gdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,853: +PARAM [/move_base/local_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,853: +SUB [/rosout] /rosout http://192.168.1.124:41973/
[rosmaster.master][INFO] 2025-06-15 18:35:39,853: +PARAM [/move_base/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,853: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,853: +PARAM [/move_base/global_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,853: +PARAM [/amcl/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,853: +PARAM [/move_base/global_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,853: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,853: +PARAM [/amcl/odom_alpha5] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,853: +PARAM [/move_base/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,854: +PARAM [/move_base/global_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,854: +PARAM [/amcl/odom_alpha1] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,854: +PARAM [/amcl/odom_alpha2] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,854: +PARAM [/amcl/odom_alpha3] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,854: +PARAM [/move_base/debug] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,854: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,854: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,854: +PARAM [/move_base/local_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,854: +PARAM [/amcl/odom_alpha4] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,854: +PARAM [/move_base/global_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,854: +PARAM [/amcl/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,854: +PARAM [/move_base/TrajectoryPlannerROS/holonomic_robot] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,854: +PARAM [/move_base/local_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,854: +PARAM [/move_base/global_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,854: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,854: +PARAM [/move_base/TrajectoryPlannerROS/min_in_place_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,854: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,854: +PARAM [/move_base/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,855: +PARAM [/move_base/base_local_planner] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,855: +PARAM [/amcl/initial_pose_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,855: +PARAM [/amcl/initial_pose_y] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,855: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,855: +PARAM [/move_base/local_costmap/map_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,855: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,855: +PARAM [/move_base/global_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,855: +PARAM [/move_base/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,855: +PARAM [/move_base/global_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,855: +PARAM [/move_base/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 18:35:39,870: +PUB [/rosout] /map_server http://192.168.1.124:40803/
[rosmaster.master][INFO] 2025-06-15 18:35:39,871: +SERVICE [/map_server/get_loggers] /map_server http://192.168.1.124:40803/
[rosmaster.master][INFO] 2025-06-15 18:35:39,871: +SERVICE [/map_server/set_logger_level] /map_server http://192.168.1.124:40803/
[rosmaster.master][INFO] 2025-06-15 18:35:39,873: +PUB [/rosout] /amcl http://192.168.1.124:42751/
[rosmaster.master][INFO] 2025-06-15 18:35:39,873: +SERVICE [/amcl/get_loggers] /amcl http://192.168.1.124:42751/
[rosmaster.master][INFO] 2025-06-15 18:35:39,874: +SERVICE [/amcl/set_logger_level] /amcl http://192.168.1.124:42751/
[rosmaster.master][INFO] 2025-06-15 18:35:39,879: +PUB [/rosout] /move_base http://192.168.1.124:45021/
[rosmaster.master][INFO] 2025-06-15 18:35:39,880: +SERVICE [/move_base/get_loggers] /move_base http://192.168.1.124:45021/
[rosmaster.master][INFO] 2025-06-15 18:35:39,881: +SERVICE [/move_base/set_logger_level] /move_base http://192.168.1.124:45021/
[rosmaster.master][INFO] 2025-06-15 18:35:39,886: +SUB [/tf] /move_base http://192.168.1.124:45021/
[rosmaster.master][INFO] 2025-06-15 18:35:39,891: +SUB [/tf_static] /move_base http://192.168.1.124:45021/
[rosmaster.master][INFO] 2025-06-15 18:35:39,906: +SERVICE [/static_map] /map_server http://192.168.1.124:40803/
[rosmaster.master][INFO] 2025-06-15 18:35:39,906: +PUB [/tf] /amcl http://192.168.1.124:42751/
[rosmaster.master][INFO] 2025-06-15 18:35:39,907: +PUB [/map_metadata] /map_server http://192.168.1.124:40803/
[rosmaster.master][INFO] 2025-06-15 18:35:39,908: +PUB [/map] /map_server http://192.168.1.124:40803/
[rosmaster.master][INFO] 2025-06-15 18:35:39,911: +SUB [/tf] /amcl http://192.168.1.124:42751/
[rosmaster.master][INFO] 2025-06-15 18:35:39,914: publisherUpdate[/rosout] -> http://192.168.1.124:41973/ ['http://192.168.1.124:40803/']
[rosmaster.master][INFO] 2025-06-15 18:35:39,914: publisherUpdate[/tf] -> http://192.168.1.124:45021/ ['http://192.168.1.124:42751/']
[rosmaster.master][INFO] 2025-06-15 18:35:39,917: publisherUpdate[/rosout] -> http://192.168.1.124:41973/ ['http://192.168.1.124:40803/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-15 18:35:39,918: publisherUpdate[/rosout] -> http://192.168.1.124:41973/ ['http://192.168.1.124:40803/', 'http://192.168.1.124:42751/']
[rosmaster.master][INFO] 2025-06-15 18:35:39,918: publisherUpdate[/rosout] -> http://192.168.1.124:41973/ ['http://192.168.1.124:40803/', 'http://192.168.1.124:42751/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-15 18:35:39,919: publisherUpdate[/rosout] -> http://192.168.1.124:41973/ ['http://192.168.1.124:40803/', 'http://192.168.1.124:42751/', 'http://192.168.1.124:45021/']
[rosmaster.master][INFO] 2025-06-15 18:35:39,919: publisherUpdate[/tf] -> http://192.168.1.124:45021/ ['http://192.168.1.124:42751/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-15 18:35:39,920: publisherUpdate[/rosout] -> http://192.168.1.124:41973/ ['http://192.168.1.124:40803/', 'http://192.168.1.124:42751/', 'http://192.168.1.124:45021/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-15 18:35:39,920: +SUB [/tf_static] /amcl http://192.168.1.124:42751/
[rosmaster.master][INFO] 2025-06-15 18:35:39,921: +PUB [/amcl_pose] /amcl http://192.168.1.124:42751/
[rosmaster.master][INFO] 2025-06-15 18:35:39,922: +PUB [/particlecloud] /amcl http://192.168.1.124:42751/
[rosmaster.master][INFO] 2025-06-15 18:35:39,923: +SERVICE [/global_localization] /amcl http://192.168.1.124:42751/
[rosmaster.master][INFO] 2025-06-15 18:35:39,924: +SERVICE [/request_nomotion_update] /amcl http://192.168.1.124:42751/
[rosmaster.master][INFO] 2025-06-15 18:35:39,925: +SERVICE [/set_map] /amcl http://192.168.1.124:42751/
[rosmaster.master][INFO] 2025-06-15 18:35:39,927: +PUB [/cmd_vel] /move_base http://192.168.1.124:45021/
[rosmaster.master][INFO] 2025-06-15 18:35:39,929: +PUB [/move_base/current_goal] /move_base http://192.168.1.124:45021/
[rosmaster.master][INFO] 2025-06-15 18:35:39,929: +SUB [/scan] /amcl http://192.168.1.124:42751/
[rosmaster.master][INFO] 2025-06-15 18:35:39,929: +PUB [/move_base/goal] /move_base http://192.168.1.124:45021/
[rosmaster.master][INFO] 2025-06-15 18:35:39,931: +PUB [/move_base/recovery_status] /move_base http://192.168.1.124:45021/
[rosmaster.master][INFO] 2025-06-15 18:35:39,934: +SUB [/initialpose] /amcl http://192.168.1.124:42751/
[rosmaster.master][INFO] 2025-06-15 18:35:39,935: +SUB [/move_base_simple/goal] /move_base http://192.168.1.124:45021/
[rosmaster.master][INFO] 2025-06-15 18:35:40,449: +SERVICE [/amcl/set_parameters] /amcl http://192.168.1.124:42751/
[rosmaster.master][INFO] 2025-06-15 18:35:40,450: +PUB [/amcl/parameter_descriptions] /amcl http://192.168.1.124:42751/
[rosmaster.master][INFO] 2025-06-15 18:35:40,450: +PUB [/amcl/parameter_updates] /amcl http://192.168.1.124:42751/
[rosmaster.master][INFO] 2025-06-15 18:35:40,467: +PARAM [/amcl/min_particles] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,468: +PARAM [/amcl/max_particles] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,469: +PARAM [/amcl/kld_err] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,469: +PARAM [/amcl/kld_z] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,470: +PARAM [/amcl/update_min_d] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,470: +PARAM [/amcl/update_min_a] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,471: +PARAM [/amcl/resample_interval] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,471: +PARAM [/amcl/transform_tolerance] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,472: +PARAM [/amcl/recovery_alpha_slow] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,472: +PARAM [/amcl/recovery_alpha_fast] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,473: +PARAM [/amcl/do_beamskip] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,473: +PARAM [/amcl/beam_skip_distance] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,474: +PARAM [/amcl/beam_skip_threshold] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,474: +PARAM [/amcl/tf_broadcast] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,475: +PARAM [/amcl/gui_publish_rate] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,475: +PARAM [/amcl/save_pose_rate] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,476: +PARAM [/amcl/use_map_topic] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,476: +PARAM [/amcl/first_map_only] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,477: +PARAM [/amcl/laser_min_range] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,477: +PARAM [/amcl/laser_max_range] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,478: +PARAM [/amcl/laser_max_beams] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,478: +PARAM [/amcl/laser_z_hit] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,479: +PARAM [/amcl/laser_z_short] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,479: +PARAM [/amcl/laser_z_max] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,480: +PARAM [/amcl/laser_z_rand] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,480: +PARAM [/amcl/laser_sigma_hit] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,481: +PARAM [/amcl/laser_lambda_short] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,481: +PARAM [/amcl/laser_likelihood_max_dist] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,482: +PARAM [/amcl/laser_model_type] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,482: +PARAM [/amcl/odom_model_type] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,483: +PARAM [/amcl/odom_alpha1] by /amcl
[rosmaster.master][INFO] 2025-06-15 18:35:40,483: +PARAM [/amcl/odom_alpha2] by /amcl
