[rosmaster.main][INFO] 2017-07-11 12:50:57,323: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-07-11 12:50:57,324: Starting ROS Master Node
[xmlrpc][INFO] 2017-07-11 12:50:57,325: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2017-07-11 12:50:57,326: Master initialized: port[11311], uri[http://172.16.244.111:11311/]
[xmlrpc][INFO] 2017-07-11 12:50:57,325: Started XML-RPC server [http://172.16.244.111:11311/]
[xmlrpc][INFO] 2017-07-11 12:50:57,326: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-07-11 12:50:57,418: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-07-11 12:50:57,419: +PARAM [/roslaunch/uris/host_172_16_244_111__39365] by /roslaunch
[rosmaster.master][INFO] 2017-07-11 12:50:57,462: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-11 12:50:57,463: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-11 12:50:57,467: +SERVICE [/rosout/get_loggers] /rosout http://172.16.244.111:41917/
[rosmaster.master][INFO] 2017-07-11 12:50:57,468: +SERVICE [/rosout/set_logger_level] /rosout http://172.16.244.111:41917/
[rosmaster.master][INFO] 2017-07-11 12:50:57,470: +PUB [/rosout_agg] /rosout http://172.16.244.111:41917/
[rosmaster.master][INFO] 2017-07-11 12:50:57,475: +SUB [/rosout] /rosout http://172.16.244.111:41917/
[rosmaster.master][INFO] 2017-07-11 12:50:57,579: +PUB [/quad_rotor/pose] / http://Kyles-MacBook-Pro.local:51096/
[rosmaster.master][INFO] 2017-07-11 12:50:57,613: +PUB [/quad_rotor/imu] / http://Kyles-MacBook-Pro.local:51096/
[rosmaster.master][INFO] 2017-07-11 12:50:57,615: +PUB [/quad_rotor/image] / http://Kyles-MacBook-Pro.local:51096/
[rosmaster.master][INFO] 2017-07-11 12:50:57,618: +SERVICE [/quad_rotor/gravity] / http://Kyles-MacBook-Pro.local:51096/
[rosmaster.master][INFO] 2017-07-11 12:50:57,621: +SERVICE [/quad_rotor/x_force_constrained] / http://Kyles-MacBook-Pro.local:51096/
[rosmaster.master][INFO] 2017-07-11 12:50:57,623: +SERVICE [/quad_rotor/y_force_constrained] / http://Kyles-MacBook-Pro.local:51096/
[rosmaster.master][INFO] 2017-07-11 12:50:57,625: +SERVICE [/quad_rotor/z_force_constrained] / http://Kyles-MacBook-Pro.local:51096/
[rosmaster.master][INFO] 2017-07-11 12:50:57,627: +SERVICE [/quad_rotor/x_torque_constrained] / http://Kyles-MacBook-Pro.local:51096/
[rosmaster.master][INFO] 2017-07-11 12:50:57,629: +SERVICE [/quad_rotor/y_torque_constrained] / http://Kyles-MacBook-Pro.local:51096/
[rosmaster.master][INFO] 2017-07-11 12:50:57,631: +SERVICE [/quad_rotor/z_torque_constrained] / http://Kyles-MacBook-Pro.local:51096/
[rosmaster.master][INFO] 2017-07-11 12:50:57,634: +SERVICE [/quad_rotor/reset_orientation] / http://Kyles-MacBook-Pro.local:51096/
[rosmaster.master][INFO] 2017-07-11 12:50:57,636: +SERVICE [/quad_rotor/set_pose] / http://Kyles-MacBook-Pro.local:51096/
[rosmaster.master][INFO] 2017-07-11 12:51:03,656: +SERVICE [/rostopic_5362_1499802663517/get_loggers] /rostopic_5362_1499802663517 http://172.16.244.111:38543/
[rosmaster.master][INFO] 2017-07-11 12:51:03,657: +SERVICE [/rostopic_5362_1499802663517/set_logger_level] /rostopic_5362_1499802663517 http://172.16.244.111:38543/
