[rosmaster.main][INFO] 2017-05-22 12:25:30,664: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-05-22 12:25:30,664: Starting ROS Master Node
[xmlrpc][INFO] 2017-05-22 12:25:30,665: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-05-22 12:25:30,665: Started XML-RPC server [http://udacity:11311/]
[xmlrpc][INFO] 2017-05-22 12:25:30,665: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-05-22 12:25:30,665: Master initialized: port[11311], uri[http://udacity:11311/]
[rosmaster.master][INFO] 2017-05-22 12:25:30,743: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:25:30,747: +PARAM [/roslaunch/uris/host_udacity__45821] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:25:30,802: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:25:30,802: +PARAM [/target_description] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:25:30,802: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:25:30,802: +PARAM [/target_spawn/select_target_spawn] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:25:30,806: +SERVICE [/rosout/get_loggers] /rosout http://udacity:45479/
[rosmaster.master][INFO] 2017-05-22 12:25:30,807: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:45479/
[rosmaster.master][INFO] 2017-05-22 12:25:30,810: +PUB [/rosout_agg] /rosout http://udacity:45479/
[rosmaster.master][INFO] 2017-05-22 12:25:30,829: +SUB [/rosout] /rosout http://udacity:45479/
[rosmaster.master][INFO] 2017-05-22 12:25:30,969: +PARAM [/target_drop_location] by /unnamed
[rosmaster.master][INFO] 2017-05-22 12:25:30,970: +PARAM [/target_spawn_location] by /unnamed
[rosmaster.master][INFO] 2017-05-22 12:25:30,971: +PARAM [/target_description_argument] by /unnamed
[rosmaster.master][INFO] 2017-05-22 12:25:40,578: +PARAM [/roslaunch/uris/host_udacity__33601] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:25:40,593: +PARAM [/kuka_arm/arm_controller/gains/joint_2/d] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:25:40,593: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:25:40,594: +PARAM [/kuka_arm/arm_controller/gains/joint_1/i] by /roslaunch
