[rosmaster.main][INFO] 2017-07-09 18:02:18,545: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-07-09 18:02:18,546: Starting ROS Master Node
[xmlrpc][INFO] 2017-07-09 18:02:18,547: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-07-09 18:02:18,548: Started XML-RPC server [http://udacity:11311/]
[xmlrpc][INFO] 2017-07-09 18:02:18,548: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-07-09 18:02:18,548: Master initialized: port[11311], uri[http://udacity:11311/]
[rosmaster.master][INFO] 2017-07-09 18:02:18,592: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:18,594: +PARAM [/roslaunch/uris/host_udacity__39281] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:18,648: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:18,649: +PARAM [/target_description] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:18,649: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:18,649: +PARAM [/target_spawn/select_target_spawn] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:18,655: +SERVICE [/rosout/get_loggers] /rosout http://udacity:37653/
[rosmaster.master][INFO] 2017-07-09 18:02:18,658: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:37653/
[rosmaster.master][INFO] 2017-07-09 18:02:18,667: +PUB [/rosout_agg] /rosout http://udacity:37653/
[rosmaster.master][INFO] 2017-07-09 18:02:18,674: +SUB [/rosout] /rosout http://udacity:37653/
[rosmaster.master][INFO] 2017-07-09 18:02:18,840: +PARAM [/target_drop_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 18:02:18,842: +PARAM [/target_spawn_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 18:02:18,844: +PARAM [/target_description_argument] by /unnamed
[rosmaster.master][INFO] 2017-07-09 18:02:21,223: +PARAM [/roslaunch/uris/host_udacity__37927] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,227: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,227: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,591: +PARAM [/roslaunch/uris/host_udacity__36519] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,620: +PARAM [/kuka_arm/arm_controller/gains/joint_2/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,620: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,620: +PARAM [/kuka_arm/arm_controller/gains/joint_1/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,620: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,620: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,620: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,620: +PARAM [/robot_description_kinematics/arm_group/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,620: +PARAM [/kuka_arm/arm_controller/gains/joint_2/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,620: +PARAM [/kuka_arm/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,620: +PARAM [/kuka_arm/arm_controller/gains/joint_1/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,621: +PARAM [/robot_description_planning/joint_limits/joint_3/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,621: +PARAM [/kuka_arm/arm_controller/gains/joint_2/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,621: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/max_degree] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,621: +PARAM [/kuka_arm/arm_controller/gains/joint_3/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,621: +PARAM [/robot_description_planning/joint_limits/joint_6/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,621: +PARAM [/kuka_arm/arm_controller/gains/joint_1/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,621: +PARAM [/move_group/planner_configs/FMTkConfigDefault/radius_multiplier] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,621: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,621: +PARAM [/robot_description_planning/joint_limits/joint_6/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,621: +PARAM [/move_group/planner_configs/BFMTkConfigDefault/cache_cc] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,621: +PARAM [/kuka_arm/arm_controller/gains/joint_5/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,621: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:02:21,622: +PARAM [/move_group/planner_configs/BiTRRTkConfigDefault/temp_change_factor] by /roslaunch
