[rosmaster.main][INFO] 2025-06-02 19:06:57,913: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-02 19:06:57,913: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-02 19:06:57,914: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-02 19:06:57,914: Started XML-RPC server [http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-02 19:06:57,914: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-02 19:06:57,914: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-02 19:06:58,013: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-02 19:06:58,014: +PARAM [/roslaunch/uris/host_192_168_1_124__42317] by /roslaunch
[rosmaster.master][INFO] 2025-06-02 19:06:58,041: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-02 19:06:58,041: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-02 19:06:58,044: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:45051/
[rosmaster.master][INFO] 2025-06-02 19:06:58,045: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:45051/
[rosmaster.master][INFO] 2025-06-02 19:06:58,048: +PUB [/rosout_agg] /rosout http://192.168.1.124:45051/
[rosmaster.master][INFO] 2025-06-02 19:06:58,051: +SUB [/rosout] /rosout http://192.168.1.124:45051/
[rosmaster.master][INFO] 2025-06-02 19:08:07,210: +PARAM [/roslaunch/uris/host_192_168_1_124__34893] by /roslaunch
[rosmaster.master][INFO] 2025-06-02 19:08:07,212: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-02 19:08:07,212: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-02 19:11:29,923: +PARAM [/roslaunch/uris/host_192_168_1_124__40891] by /roslaunch
[rosmaster.master][INFO] 2025-06-02 19:11:29,926: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-02 19:11:29,926: +PARAM [/joint_state_publisher/use_gui] by /roslaunch
[rosmaster.master][INFO] 2025-06-02 19:11:29,926: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-02 19:11:29,926: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2025-06-02 19:11:29,926: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-02 19:11:30,028: +PUB [/rosout] /robot_state_publisher http://192.168.1.124:42437/
[rosmaster.master][INFO] 2025-06-02 19:11:30,029: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://192.168.1.124:42437/
[rosmaster.master][INFO] 2025-06-02 19:11:30,029: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://192.168.1.124:42437/
[rosmaster.master][INFO] 2025-06-02 19:11:30,033: +SUB [/clock] /robot_state_publisher http://192.168.1.124:42437/
[rosmaster.master][INFO] 2025-06-02 19:11:30,050: +PUB [/tf] /robot_state_publisher http://192.168.1.124:42437/
[rosmaster.master][INFO] 2025-06-02 19:11:30,052: +PUB [/tf_static] /robot_state_publisher http://192.168.1.124:42437/
[rosmaster.master][INFO] 2025-06-02 19:11:30,057: +SUB [/joint_states] /robot_state_publisher http://192.168.1.124:42437/
[rosmaster.master][INFO] 2025-06-02 19:11:30,108: publisherUpdate[/rosout] -> http://192.168.1.124:45051/ ['http://192.168.1.124:42437/']
[rosmaster.master][INFO] 2025-06-02 19:11:30,109: publisherUpdate[/rosout] -> http://192.168.1.124:45051/ ['http://192.168.1.124:42437/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-02 19:11:30,192: +PUB [/rosout] /gazebo http://192.168.1.124:34613/
[rosmaster.master][INFO] 2025-06-02 19:11:30,193: +SERVICE [/gazebo/get_loggers] /gazebo http://192.168.1.124:34613/
[rosmaster.master][INFO] 2025-06-02 19:11:30,193: +SERVICE [/gazebo/set_logger_level] /gazebo http://192.168.1.124:34613/
[rosmaster.master][INFO] 2025-06-02 19:11:30,197: +SUB [/clock] /gazebo http://192.168.1.124:34613/
[rosmaster.master][INFO] 2025-06-02 19:11:30,209: publisherUpdate[/rosout] -> http://192.168.1.124:45051/ ['http://192.168.1.124:42437/', 'http://192.168.1.124:34613/']
[rosmaster.master][INFO] 2025-06-02 19:11:30,210: publisherUpdate[/rosout] -> http://192.168.1.124:45051/ ['http://192.168.1.124:42437/', 'http://192.168.1.124:34613/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-02 19:11:30,264: +PUB [/rosout] /rviz http://192.168.1.124:35351/
[rosmaster.master][INFO] 2025-06-02 19:11:30,266: +SERVICE [/rviz/get_loggers] /rviz http://192.168.1.124:35351/
[rosmaster.master][INFO] 2025-06-02 19:11:30,267: +SERVICE [/rviz/set_logger_level] /rviz http://192.168.1.124:35351/
[rosmaster.master][INFO] 2025-06-02 19:11:30,275: +SUB [/clock] /rviz http://192.168.1.124:35351/
[rosmaster.master][INFO] 2025-06-02 19:11:30,310: publisherUpdate[/rosout] -> http://192.168.1.124:45051/ ['http://192.168.1.124:42437/', 'http://192.168.1.124:34613/', 'http://192.168.1.124:35351/']
[rosmaster.master][INFO] 2025-06-02 19:11:30,311: publisherUpdate[/rosout] -> http://192.168.1.124:45051/ ['http://192.168.1.124:42437/', 'http://192.168.1.124:34613/', 'http://192.168.1.124:35351/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-02 19:11:30,394: +PUB [/clock] /gazebo http://192.168.1.124:34613/
[rosmaster.master][INFO] 2025-06-02 19:11:30,394: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://192.168.1.124:34613/
[rosmaster.master][INFO] 2025-06-02 19:11:30,395: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://192.168.1.124:34613/
[rosmaster.master][INFO] 2025-06-02 19:11:30,395: +SERVICE [/gazebo/delete_model] /gazebo http://192.168.1.124:34613/
[rosmaster.master][INFO] 2025-06-02 19:11:30,396: +SERVICE [/gazebo/delete_light] /gazebo http://192.168.1.124:34613/
