[rosmaster.main][INFO] 2017-07-09 18:38:16,852: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-07-09 18:38:16,852: Starting ROS Master Node
[xmlrpc][INFO] 2017-07-09 18:38:16,854: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-07-09 18:38:16,854: Started XML-RPC server [http://udacity:11311/]
[rosmaster.master][INFO] 2017-07-09 18:38:16,855: Master initialized: port[11311], uri[http://udacity:11311/]
[xmlrpc][INFO] 2017-07-09 18:38:16,855: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-07-09 18:38:16,906: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:16,908: +PARAM [/roslaunch/uris/host_udacity__34433] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:16,958: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:16,959: +PARAM [/target_description] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:16,959: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:16,959: +PARAM [/target_spawn/select_target_spawn] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:16,962: +SERVICE [/rosout/get_loggers] /rosout http://udacity:44433/
[rosmaster.master][INFO] 2017-07-09 18:38:16,963: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:44433/
[rosmaster.master][INFO] 2017-07-09 18:38:16,973: +PUB [/rosout_agg] /rosout http://udacity:44433/
[rosmaster.master][INFO] 2017-07-09 18:38:16,978: +SUB [/rosout] /rosout http://udacity:44433/
[rosmaster.master][INFO] 2017-07-09 18:38:17,122: +PARAM [/target_drop_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 18:38:17,124: +PARAM [/target_spawn_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 18:38:17,126: +PARAM [/target_description_argument] by /unnamed
[rosmaster.master][INFO] 2017-07-09 18:38:19,543: +PARAM [/roslaunch/uris/host_udacity__37733] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,546: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,546: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,911: +PARAM [/roslaunch/uris/host_udacity__46195] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,942: +PARAM [/kuka_arm/arm_controller/gains/joint_2/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,942: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,942: +PARAM [/kuka_arm/arm_controller/gains/joint_1/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,943: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,943: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,943: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,943: +PARAM [/robot_description_kinematics/arm_group/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,943: +PARAM [/kuka_arm/arm_controller/gains/joint_2/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,943: +PARAM [/kuka_arm/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,943: +PARAM [/kuka_arm/arm_controller/gains/joint_1/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,943: +PARAM [/robot_description_planning/joint_limits/joint_3/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,943: +PARAM [/kuka_arm/arm_controller/gains/joint_2/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,943: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/max_degree] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,944: +PARAM [/kuka_arm/arm_controller/gains/joint_3/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,944: +PARAM [/robot_description_planning/joint_limits/joint_6/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,944: +PARAM [/kuka_arm/arm_controller/gains/joint_1/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,944: +PARAM [/move_group/planner_configs/FMTkConfigDefault/radius_multiplier] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,944: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,944: +PARAM [/robot_description_planning/joint_limits/joint_6/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,944: +PARAM [/move_group/planner_configs/BFMTkConfigDefault/cache_cc] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,944: +PARAM [/kuka_arm/arm_controller/gains/joint_5/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,944: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,944: +PARAM [/move_group/planner_configs/BiTRRTkConfigDefault/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,945: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/delay_collision_checking] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,945: +PARAM [/kuka_arm/arm_controller/gains/joint_4/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,945: +PARAM [/kuka_arm/gripper_controller/type] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,945: +PARAM [/kuka_arm/arm_controller/gains/joint_5/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,945: +PARAM [/robot_description_planning/joint_limits/right_gripper_finger_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,945: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,945: +PARAM [/kuka_arm/arm_controller/gains/joint_4/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,945: +PARAM [/kuka_arm/arm_controller/gains/joint_4/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,945: +PARAM [/move_group/planner_configs/PRMkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,945: +PARAM [/kuka_arm/arm_controller/gains/joint_5/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,945: +PARAM [/move_group/planner_configs/ESTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 18:38:19,946: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
