[rosmaster.main][INFO] 2025-06-10 18:43:28,262: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-10 18:43:28,262: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-10 18:43:28,262: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-10 18:43:28,263: Started XML-RPC server [http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-10 18:43:28,263: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-10 18:43:28,263: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-10 18:43:28,362: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 18:43:28,363: +PARAM [/roslaunch/uris/host_192_168_1_124__35111] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 18:43:28,401: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 18:43:28,401: +PARAM [/joint_state_publisher/use_gui] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 18:43:28,401: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 18:43:28,401: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 18:43:28,402: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-10 18:43:28,460: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:37297/
[rosmaster.master][INFO] 2025-06-10 18:43:28,461: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:37297/
[rosmaster.master][INFO] 2025-06-10 18:43:28,468: +SUB [/clock] /rosout http://192.168.1.124:37297/
[rosmaster.master][INFO] 2025-06-10 18:43:28,469: +PUB [/rosout_agg] /rosout http://192.168.1.124:37297/
[rosmaster.master][INFO] 2025-06-10 18:43:28,473: +SUB [/rosout] /rosout http://192.168.1.124:37297/
[rosmaster.master][INFO] 2025-06-10 18:43:28,486: +PUB [/rosout] /robot_state_publisher http://192.168.1.124:46693/
[rosmaster.master][INFO] 2025-06-10 18:43:28,486: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://192.168.1.124:46693/
[rosmaster.master][INFO] 2025-06-10 18:43:28,487: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://192.168.1.124:46693/
[rosmaster.master][INFO] 2025-06-10 18:43:28,490: +SUB [/clock] /robot_state_publisher http://192.168.1.124:46693/
[rosmaster.master][INFO] 2025-06-10 18:43:28,492: +PUB [/tf] /robot_state_publisher http://192.168.1.124:46693/
[rosmaster.master][INFO] 2025-06-10 18:43:28,492: +PUB [/tf_static] /robot_state_publisher http://192.168.1.124:46693/
[rosmaster.master][INFO] 2025-06-10 18:43:28,504: +SUB [/joint_states] /robot_state_publisher http://192.168.1.124:46693/
[rosmaster.master][INFO] 2025-06-10 18:43:28,562: publisherUpdate[/rosout] -> http://192.168.1.124:37297/ ['http://192.168.1.124:46693/']
