[rosmaster.main][INFO] 2025-06-11 18:20:50,726: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-11 18:20:50,726: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-11 18:20:50,726: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-11 18:20:50,727: Started XML-RPC server [http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-11 18:20:50,727: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-11 18:20:50,727: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-11 18:20:50,822: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,822: +PARAM [/roslaunch/uris/host_192_168_1_124__40481] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,864: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,864: +PARAM [/move_base/TrajectoryPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,864: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,864: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,864: +PARAM [/move_base/global_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,864: +PARAM [/move_base/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,864: +PARAM [/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,864: +PARAM [/move_base/global_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,864: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,864: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,864: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,864: +PARAM [/move_base/global_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,864: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/amcl/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/global_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/TrajectoryPlannerROS/pdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/TrajectoryPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/base_global_planner] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/local_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/TrajectoryPlannerROS/vtheta_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/global_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,865: +PARAM [/move_base/local_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,866: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,866: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,866: +PARAM [/move_base/global_costmap/map_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,866: +PARAM [/move_base/TrajectoryPlannerROS/gdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,866: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,866: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,866: +PARAM [/move_base/global_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,866: +PARAM [/amcl/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,866: +PARAM [/move_base/global_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,866: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,866: +PARAM [/move_base/local_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,866: +PARAM [/move_base/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,866: +PARAM [/move_base/global_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,867: +PARAM [/move_base/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,867: +PARAM [/move_base/debug] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,867: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,867: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,867: +PARAM [/move_base/local_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,867: +PARAM [/move_base/local_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,867: +PARAM [/move_base/global_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,867: +PARAM [/amcl/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,867: +PARAM [/move_base/TrajectoryPlannerROS/holonomic_robot] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,867: +PARAM [/move_base/global_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,868: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,868: +PARAM [/move_base/TrajectoryPlannerROS/min_in_place_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,868: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,868: +PARAM [/move_base/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,868: +PARAM [/move_base/base_local_planner] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,868: +PARAM [/amcl/initial_pose_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,869: +PARAM [/amcl/initial_pose_y] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,869: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,869: +PARAM [/move_base/local_costmap/map_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,869: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,869: +PARAM [/move_base/global_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,870: +PARAM [/move_base/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,870: +PARAM [/move_base/global_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:20:50,870: +PARAM [/move_base/controller_frequency] by /roslaunch
