[rosmaster.main][INFO] 2025-06-11 11:04:14,050: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-11 11:04:14,050: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-11 11:04:14,050: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-11 11:04:14,051: Started XML-RPC server [http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-11 11:04:14,051: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-11 11:04:14,051: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-11 11:04:14,149: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 11:04:14,150: +PARAM [/roslaunch/uris/host_192_168_1_124__35623] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 11:04:14,182: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 11:04:14,183: +PARAM [/move_base/TrajectoryPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 11:04:14,183: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 11:04:14,183: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 11:04:14,183: +PARAM [/move_base/global_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 11:04:14,183: +PARAM [/move_base/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 11:04:14,183: +PARAM [/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 11:04:14,184: +PARAM [/move_base/global_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 11:04:14,184: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 11:04:14,184: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 11:04:14,184: +PARAM [/move_base/local_costmap/height] by /roslaunch
