[rosmaster.main][INFO] 2025-06-03 18:16:04,980: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-03 18:16:04,980: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-03 18:16:04,981: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-03 18:16:04,981: Started XML-RPC server [http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-03 18:16:04,981: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-03 18:16:04,981: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-03 18:16:04,984: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-03 18:16:04,985: +PARAM [/roslaunch/uris/host_192_168_1_124__44937] by /roslaunch
[rosmaster.master][INFO] 2025-06-03 18:16:05,012: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-03 18:16:05,012: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-03 18:16:05,016: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:33631/
[rosmaster.master][INFO] 2025-06-03 18:16:05,016: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:33631/
[rosmaster.master][INFO] 2025-06-03 18:16:05,017: +PUB [/rosout_agg] /rosout http://192.168.1.124:33631/
[rosmaster.master][INFO] 2025-06-03 18:16:05,020: +SUB [/rosout] /rosout http://192.168.1.124:33631/
[rosmaster.master][INFO] 2025-06-03 18:16:06,118: -PUB [/rosout_agg] /rosout http://192.168.1.124:33631/
[rosmaster.master][INFO] 2025-06-03 18:16:06,119: -SUB [/rosout] /rosout http://192.168.1.124:33631/
[rosmaster.master][INFO] 2025-06-03 18:16:06,119: -SERVICE [/rosout/get_loggers] /rosout rosrpc://192.168.1.124:45473
[rosmaster.master][INFO] 2025-06-03 18:16:06,120: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://192.168.1.124:45473
[rosmaster.main][INFO] 2025-06-03 18:16:06,170: keyboard interrupt, will exit
[rosmaster.main][INFO] 2025-06-03 18:16:06,171: stopping master...
[rospy.core][INFO] 2025-06-03 18:16:06,171: signal_shutdown [atexit]
