[rosmaster.main][INFO] 2017-07-09 17:55:41,866: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-07-09 17:55:41,866: Starting ROS Master Node
[xmlrpc][INFO] 2017-07-09 17:55:41,868: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-07-09 17:55:41,868: Started XML-RPC server [http://udacity:11311/]
[xmlrpc][INFO] 2017-07-09 17:55:41,868: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-07-09 17:55:41,869: Master initialized: port[11311], uri[http://udacity:11311/]
[rosmaster.master][INFO] 2017-07-09 17:55:41,918: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:55:41,919: +PARAM [/roslaunch/uris/host_udacity__42361] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:55:41,973: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:55:41,973: +PARAM [/target_description] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:55:41,973: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:55:41,973: +PARAM [/target_spawn/select_target_spawn] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:55:41,976: +SERVICE [/rosout/get_loggers] /rosout http://udacity:35421/
[rosmaster.master][INFO] 2017-07-09 17:55:41,977: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:35421/
[rosmaster.master][INFO] 2017-07-09 17:55:41,980: +PUB [/rosout_agg] /rosout http://udacity:35421/
[rosmaster.master][INFO] 2017-07-09 17:55:41,991: +SUB [/rosout] /rosout http://udacity:35421/
[rosmaster.master][INFO] 2017-07-09 17:55:42,144: +PARAM [/target_drop_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 17:55:42,146: +PARAM [/target_spawn_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 17:55:42,147: +PARAM [/target_description_argument] by /unnamed
[rosmaster.master][INFO] 2017-07-09 17:55:44,518: +PARAM [/roslaunch/uris/host_udacity__34329] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:55:44,522: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:55:44,522: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:55:44,880: +PARAM [/roslaunch/uris/host_udacity__33831] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:55:44,910: +PARAM [/kuka_arm/arm_controller/gains/joint_2/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:55:44,910: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:55:44,910: +PARAM [/kuka_arm/arm_controller/gains/joint_1/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:55:44,910: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:55:44,910: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:55:44,910: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:55:44,911: +PARAM [/robot_description_kinematics/arm_group/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:55:44,911: +PARAM [/kuka_arm/arm_controller/gains/joint_2/i] by /roslaunch
