[rosmaster.main][INFO] 2025-06-24 20:07:31,289: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-24 20:07:31,289: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-24 20:07:31,289: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-24 20:07:31,290: Started XML-RPC server [http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-24 20:07:31,290: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-24 20:07:31,290: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-24 20:07:31,385: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:07:31,386: +PARAM [/roslaunch/uris/host_192_168_1_124__39829] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:07:31,423: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:07:31,423: +PARAM [/joint_state_publisher/use_gui] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:07:31,423: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:07:31,423: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:07:31,423: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:07:31,501: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:41861/
[rosmaster.master][INFO] 2025-06-24 20:07:31,502: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:41861/
[rosmaster.master][INFO] 2025-06-24 20:07:31,515: +PUB [/rosout] /robot_state_publisher http://192.168.1.124:35691/
[rosmaster.master][INFO] 2025-06-24 20:07:31,516: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://192.168.1.124:35691/
[rosmaster.master][INFO] 2025-06-24 20:07:31,517: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://192.168.1.124:35691/
[rosmaster.master][INFO] 2025-06-24 20:07:31,527: +SUB [/clock] /rosout http://192.168.1.124:41861/
[rosmaster.master][INFO] 2025-06-24 20:07:31,528: +PUB [/rosout_agg] /rosout http://192.168.1.124:41861/
[rosmaster.master][INFO] 2025-06-24 20:07:31,531: +SUB [/clock] /robot_state_publisher http://192.168.1.124:35691/
[rosmaster.master][INFO] 2025-06-24 20:07:31,534: +SUB [/rosout] /rosout http://192.168.1.124:41861/
[rosmaster.master][INFO] 2025-06-24 20:07:31,702: -PUB [/rosout] /robot_state_publisher http://192.168.1.124:35691/
[rosmaster.master][INFO] 2025-06-24 20:07:31,703: -SUB [/clock] /robot_state_publisher http://192.168.1.124:35691/
[rosmaster.master][INFO] 2025-06-24 20:07:31,704: -SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher rosrpc://192.168.1.124:54919
[rosmaster.master][INFO] 2025-06-24 20:07:31,704: -SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher rosrpc://192.168.1.124:54919
[rosmaster.master][INFO] 2025-06-24 20:07:31,762: +PUB [/rosout] /joint_state_publisher http://192.168.1.124:45693/
