[rosmaster.main][INFO] 2025-06-11 18:50:03,000: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-11 18:50:03,000: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-11 18:50:03,001: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-11 18:50:03,001: Started XML-RPC server [http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-11 18:50:03,001: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-11 18:50:03,001: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-11 18:50:03,101: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:50:03,102: +PARAM [/roslaunch/uris/host_192_168_1_124__44027] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:50:03,129: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:50:03,130: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:50:03,130: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:50:03,168: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:41203/
[rosmaster.master][INFO] 2025-06-11 18:50:03,169: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:41203/
[rosmaster.master][INFO] 2025-06-11 18:50:03,172: +SUB [/clock] /rosout http://192.168.1.124:41203/
[rosmaster.master][INFO] 2025-06-11 18:50:03,173: +PUB [/rosout_agg] /rosout http://192.168.1.124:41203/
[rosmaster.master][INFO] 2025-06-11 18:50:03,175: +SUB [/rosout] /rosout http://192.168.1.124:41203/
[rosmaster.master][INFO] 2025-06-11 18:50:03,566: +PUB [/rosout] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,567: +SERVICE [/gazebo/get_loggers] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,567: +SERVICE [/gazebo/set_logger_level] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,571: +SUB [/clock] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,576: +PUB [/rosout] /gazebo_gui http://192.168.1.124:44299/
[rosmaster.master][INFO] 2025-06-11 18:50:03,577: +SERVICE [/gazebo_gui/get_loggers] /gazebo_gui http://192.168.1.124:44299/
[rosmaster.master][INFO] 2025-06-11 18:50:03,578: +SERVICE [/gazebo_gui/set_logger_level] /gazebo_gui http://192.168.1.124:44299/
[rosmaster.master][INFO] 2025-06-11 18:50:03,581: +SUB [/clock] /gazebo_gui http://192.168.1.124:44299/
[rosmaster.master][INFO] 2025-06-11 18:50:03,601: publisherUpdate[/rosout] -> http://192.168.1.124:41203/ ['http://192.168.1.124:36593/']
[rosmaster.master][INFO] 2025-06-11 18:50:03,602: publisherUpdate[/rosout] -> http://192.168.1.124:41203/ ['http://192.168.1.124:36593/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-11 18:50:03,603: publisherUpdate[/rosout] -> http://192.168.1.124:41203/ ['http://192.168.1.124:36593/', 'http://192.168.1.124:44299/']
[rosmaster.master][INFO] 2025-06-11 18:50:03,603: publisherUpdate[/rosout] -> http://192.168.1.124:41203/ ['http://192.168.1.124:36593/', 'http://192.168.1.124:44299/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-11 18:50:03,891: +PUB [/clock] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,892: +SERVICE [/gazebo/spawn_sdf_model] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,893: +SERVICE [/gazebo/spawn_urdf_model] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,893: +SERVICE [/gazebo/delete_model] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,894: +SERVICE [/gazebo/delete_light] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,894: +SERVICE [/gazebo/get_model_properties] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,895: +SERVICE [/gazebo/get_model_state] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,895: +SERVICE [/gazebo/get_world_properties] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,896: +SERVICE [/gazebo/get_joint_properties] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,896: +SERVICE [/gazebo/get_link_properties] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,897: +SERVICE [/gazebo/get_link_state] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,897: +SERVICE [/gazebo/get_light_properties] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,898: +SERVICE [/gazebo/set_light_properties] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,899: +SERVICE [/gazebo/get_physics_properties] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,899: +PUB [/gazebo/link_states] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,900: +PUB [/gazebo/model_states] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,900: +SERVICE [/gazebo/set_link_properties] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,901: +SERVICE [/gazebo/set_physics_properties] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,901: +SERVICE [/gazebo/set_model_state] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,902: +SERVICE [/gazebo/set_model_configuration] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,902: +SERVICE [/gazebo/set_joint_properties] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,902: publisherUpdate[/clock] -> http://192.168.1.124:41203/ ['http://192.168.1.124:36593/']
[rosmaster.master][INFO] 2025-06-11 18:50:03,903: publisherUpdate[/clock] -> http://192.168.1.124:36593/ ['http://192.168.1.124:36593/']
[rosmaster.master][INFO] 2025-06-11 18:50:03,903: publisherUpdate[/clock] -> http://192.168.1.124:36593/ ['http://192.168.1.124:36593/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-11 18:50:03,904: publisherUpdate[/clock] -> http://192.168.1.124:41203/ ['http://192.168.1.124:36593/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-11 18:50:03,904: +SERVICE [/gazebo/set_link_state] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,904: publisherUpdate[/clock] -> http://192.168.1.124:44299/ ['http://192.168.1.124:36593/']
[rosmaster.master][INFO] 2025-06-11 18:50:03,905: publisherUpdate[/clock] -> http://192.168.1.124:44299/ ['http://192.168.1.124:36593/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-11 18:50:03,906: +SERVICE [/gazebo/set_parameters] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,908: +SUB [/gazebo/set_link_state] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,909: +PUB [/gazebo/parameter_descriptions] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,911: +SUB [/gazebo/set_model_state] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,911: +PUB [/gazebo/parameter_updates] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,912: +SERVICE [/gazebo/pause_physics] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,913: +SERVICE [/gazebo/unpause_physics] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,914: +SERVICE [/gazebo/apply_body_wrench] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,915: +SERVICE [/gazebo/apply_joint_effort] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,916: +SERVICE [/gazebo_gui/set_parameters] /gazebo_gui http://192.168.1.124:44299/
[rosmaster.master][INFO] 2025-06-11 18:50:03,917: +SERVICE [/gazebo/clear_joint_forces] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,918: +PUB [/gazebo_gui/parameter_descriptions] /gazebo_gui http://192.168.1.124:44299/
[rosmaster.master][INFO] 2025-06-11 18:50:03,918: +SERVICE [/gazebo/clear_body_wrenches] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,919: +PUB [/gazebo_gui/parameter_updates] /gazebo_gui http://192.168.1.124:44299/
[rosmaster.master][INFO] 2025-06-11 18:50:03,920: +SERVICE [/gazebo/reset_simulation] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,921: +SERVICE [/gazebo/reset_world] /gazebo http://192.168.1.124:36593/
[rosmaster.master][INFO] 2025-06-11 18:50:03,928: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,929: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,930: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,931: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,932: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,933: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,934: +PARAM [/gazebo_gui/time_step] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,934: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,935: +PARAM [/gazebo_gui/max_update_rate] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,935: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,936: +PARAM [/gazebo_gui/gravity_x] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,936: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,936: +PARAM [/gazebo_gui/gravity_y] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,937: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,937: +PARAM [/gazebo_gui/gravity_z] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,938: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,938: +PARAM [/gazebo_gui/auto_disable_bodies] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,939: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,939: +PARAM [/gazebo_gui/sor_pgs_precon_iters] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,940: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,940: +PARAM [/gazebo_gui/sor_pgs_iters] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,941: +PARAM [/gazebo_gui/sor_pgs_w] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,941: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,942: +PARAM [/gazebo_gui/sor_pgs_rms_error_tol] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,943: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,943: +PARAM [/gazebo_gui/cfm] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,944: +PARAM [/gazebo_gui/erp] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,944: +PARAM [/gazebo_gui/contact_surface_layer] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,945: +PARAM [/gazebo_gui/contact_max_correcting_vel] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,945: +PARAM [/gazebo/time_step] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,946: +PARAM [/gazebo_gui/max_contacts] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,946: +PARAM [/gazebo/max_update_rate] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,947: +PARAM [/gazebo/gravity_x] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,948: +PARAM [/gazebo_gui/time_step] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,948: +PARAM [/gazebo/gravity_y] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,949: +PARAM [/gazebo_gui/max_update_rate] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,949: +PARAM [/gazebo/gravity_z] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,950: +PARAM [/gazebo_gui/gravity_x] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,950: +PARAM [/gazebo/auto_disable_bodies] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,951: +PARAM [/gazebo_gui/gravity_y] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,951: +PARAM [/gazebo/sor_pgs_precon_iters] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,951: +PARAM [/gazebo_gui/gravity_z] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,952: +PARAM [/gazebo/sor_pgs_iters] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,952: +PARAM [/gazebo_gui/auto_disable_bodies] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,953: +PARAM [/gazebo/sor_pgs_w] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,953: +PARAM [/gazebo_gui/sor_pgs_precon_iters] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,954: +PARAM [/gazebo/sor_pgs_rms_error_tol] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,954: +PARAM [/gazebo_gui/sor_pgs_iters] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,955: +PARAM [/gazebo/cfm] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,956: +PARAM [/gazebo_gui/sor_pgs_w] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,956: +PARAM [/gazebo/erp] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,956: +PARAM [/gazebo_gui/sor_pgs_rms_error_tol] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,957: +PARAM [/gazebo/contact_surface_layer] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,957: +PARAM [/gazebo_gui/cfm] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,958: +PARAM [/gazebo/contact_max_correcting_vel] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,958: +PARAM [/gazebo_gui/erp] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,959: +PARAM [/gazebo/max_contacts] by /gazebo
[rosmaster.master][INFO] 2025-06-11 18:50:03,959: +PARAM [/gazebo_gui/contact_surface_layer] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,960: +PARAM [/gazebo_gui/contact_max_correcting_vel] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:50:03,960: +PARAM [/gazebo_gui/max_contacts] by /gazebo_gui
[rosmaster.master][INFO] 2025-06-11 18:51:02,384: +PARAM [/roslaunch/uris/host_192_168_1_124__46315] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,390: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,390: +PARAM [/move_base/TrajectoryPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,390: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,390: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,390: +PARAM [/move_base/global_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,390: +PARAM [/move_base/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,390: +PARAM [/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,391: +PARAM [/move_base/global_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,391: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,391: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,391: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,391: +PARAM [/move_base/global_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,391: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,391: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,391: +PARAM [/amcl/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,391: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,391: +PARAM [/move_base/global_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,391: +PARAM [/move_base/TrajectoryPlannerROS/pdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,391: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,391: +PARAM [/move_base/TrajectoryPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,391: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,391: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,392: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,392: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,392: +PARAM [/move_base/base_global_planner] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,392: +PARAM [/move_base/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,392: +PARAM [/move_base/local_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,392: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,392: +PARAM [/move_base/TrajectoryPlannerROS/vtheta_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,392: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:51:02,392: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
