[rosmaster.main][INFO] 2025-06-14 21:45:30,520: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-14 21:45:30,520: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-14 21:45:30,521: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-14 21:45:30,521: Started XML-RPC server [http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-14 21:45:30,521: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-14 21:45:30,521: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-14 21:45:30,618: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-14 21:45:30,618: +PARAM [/roslaunch/uris/host_192_168_1_124__46659] by /roslaunch
[rosmaster.master][INFO] 2025-06-14 21:45:30,647: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-14 21:45:30,647: +PARAM [/joint_state_publisher/use_gui] by /roslaunch
[rosmaster.master][INFO] 2025-06-14 21:45:30,647: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-14 21:45:30,647: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2025-06-14 21:45:30,647: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-14 21:45:30,649: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:44877/
[rosmaster.master][INFO] 2025-06-14 21:45:30,650: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:44877/
[rosmaster.master][INFO] 2025-06-14 21:45:30,671: +SUB [/clock] /rosout http://192.168.1.124:44877/
[rosmaster.master][INFO] 2025-06-14 21:45:30,685: +PUB [/rosout] /robot_state_publisher http://192.168.1.124:43139/
[rosmaster.master][INFO] 2025-06-14 21:45:30,691: +PUB [/rosout_agg] /rosout http://192.168.1.124:44877/
[rosmaster.master][INFO] 2025-06-14 21:45:30,696: +SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher http://192.168.1.124:43139/
[rosmaster.master][INFO] 2025-06-14 21:45:30,706: +SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher http://192.168.1.124:43139/
[rosmaster.master][INFO] 2025-06-14 21:45:30,737: +PUB [/rosout] /rviz http://192.168.1.124:43221/
[rosmaster.master][INFO] 2025-06-14 21:45:30,742: +SUB [/rosout] /rosout http://192.168.1.124:44877/
[rosmaster.master][INFO] 2025-06-14 21:45:30,743: +SERVICE [/rviz/get_loggers] /rviz http://192.168.1.124:43221/
[rosmaster.master][INFO] 2025-06-14 21:45:30,745: +SERVICE [/rviz/set_logger_level] /rviz http://192.168.1.124:43221/
[rosmaster.master][INFO] 2025-06-14 21:45:30,746: +SUB [/clock] /robot_state_publisher http://192.168.1.124:43139/
[rosmaster.master][INFO] 2025-06-14 21:45:30,754: +PUB [/tf] /robot_state_publisher http://192.168.1.124:43139/
[rosmaster.master][INFO] 2025-06-14 21:45:30,755: +PUB [/tf_static] /robot_state_publisher http://192.168.1.124:43139/
[rosmaster.master][INFO] 2025-06-14 21:45:30,759: +SUB [/clock] /rviz http://192.168.1.124:43221/
[rosmaster.master][INFO] 2025-06-14 21:45:30,770: +SUB [/joint_states] /robot_state_publisher http://192.168.1.124:43139/
[rosmaster.master][INFO] 2025-06-14 21:45:30,848: +PUB [/rosout] /gazebo http://192.168.1.124:35457/
