[rosmaster.main][INFO] 2017-07-09 21:52:33,452: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-07-09 21:52:33,452: Starting ROS Master Node
[xmlrpc][INFO] 2017-07-09 21:52:33,454: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-07-09 21:52:33,455: Started XML-RPC server [http://udacity:11311/]
[xmlrpc][INFO] 2017-07-09 21:52:33,455: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-07-09 21:52:33,455: Master initialized: port[11311], uri[http://udacity:11311/]
[rosmaster.master][INFO] 2017-07-09 21:52:33,498: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:52:33,500: +PARAM [/roslaunch/uris/host_udacity__37843] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:52:33,551: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:52:33,551: +PARAM [/target_description] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:52:33,551: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:52:33,551: +PARAM [/target_spawn/select_target_spawn] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:52:33,555: +SERVICE [/rosout/get_loggers] /rosout http://udacity:39731/
[rosmaster.master][INFO] 2017-07-09 21:52:33,557: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:39731/
[rosmaster.master][INFO] 2017-07-09 21:52:33,561: +PUB [/rosout_agg] /rosout http://udacity:39731/
[rosmaster.master][INFO] 2017-07-09 21:52:33,572: +SUB [/rosout] /rosout http://udacity:39731/
[rosmaster.master][INFO] 2017-07-09 21:52:33,726: +PARAM [/target_drop_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 21:52:33,727: +PARAM [/target_spawn_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 21:52:33,728: +PARAM [/target_description_argument] by /unnamed
[rosmaster.master][INFO] 2017-07-09 21:52:36,080: +PARAM [/roslaunch/uris/host_udacity__41929] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:52:36,085: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:52:36,086: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:52:36,448: +PARAM [/roslaunch/uris/host_udacity__34337] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:52:36,477: +PARAM [/kuka_arm/arm_controller/gains/joint_2/d] by /roslaunch
