[rosmaster.main][INFO] 2017-07-09 21:45:57,312: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-07-09 21:45:57,312: Starting ROS Master Node
[xmlrpc][INFO] 2017-07-09 21:45:57,314: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-07-09 21:45:57,315: Started XML-RPC server [http://udacity:11311/]
[xmlrpc][INFO] 2017-07-09 21:45:57,315: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-07-09 21:45:57,315: Master initialized: port[11311], uri[http://udacity:11311/]
[rosmaster.master][INFO] 2017-07-09 21:45:57,367: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:45:57,368: +PARAM [/roslaunch/uris/host_udacity__45583] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:45:57,418: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:45:57,418: +PARAM [/target_description] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:45:57,418: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:45:57,418: +PARAM [/target_spawn/select_target_spawn] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:45:57,421: +SERVICE [/rosout/get_loggers] /rosout http://udacity:43217/
[rosmaster.master][INFO] 2017-07-09 21:45:57,421: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:43217/
[rosmaster.master][INFO] 2017-07-09 21:45:57,424: +PUB [/rosout_agg] /rosout http://udacity:43217/
[rosmaster.master][INFO] 2017-07-09 21:45:57,431: +SUB [/rosout] /rosout http://udacity:43217/
[rosmaster.master][INFO] 2017-07-09 21:45:57,590: +PARAM [/target_drop_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 21:45:57,592: +PARAM [/target_spawn_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 21:45:57,594: +PARAM [/target_description_argument] by /unnamed
[rosmaster.master][INFO] 2017-07-09 21:45:59,959: +PARAM [/roslaunch/uris/host_udacity__42729] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:45:59,962: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:45:59,962: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:46:00,326: +PARAM [/roslaunch/uris/host_udacity__38773] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:46:00,354: +PARAM [/kuka_arm/arm_controller/gains/joint_2/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:46:00,355: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:46:00,355: +PARAM [/kuka_arm/arm_controller/gains/joint_1/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:46:00,355: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:46:00,355: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:46:00,355: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:46:00,355: +PARAM [/robot_description_kinematics/arm_group/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:46:00,355: +PARAM [/kuka_arm/arm_controller/gains/joint_2/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:46:00,355: +PARAM [/kuka_arm/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:46:00,355: +PARAM [/kuka_arm/arm_controller/gains/joint_1/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:46:00,355: +PARAM [/robot_description_planning/joint_limits/joint_3/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:46:00,356: +PARAM [/kuka_arm/arm_controller/gains/joint_2/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:46:00,356: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/max_degree] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 21:46:00,356: +PARAM [/kuka_arm/arm_controller/gains/joint_3/d] by /roslaunch
