[rosmaster.main][INFO] 2017-07-10 15:39:44,785: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-07-10 15:39:44,785: Starting ROS Master Node
[xmlrpc][INFO] 2017-07-10 15:39:44,787: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-07-10 15:39:44,788: Started XML-RPC server [http://udacity:11311/]
[xmlrpc][INFO] 2017-07-10 15:39:44,788: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-07-10 15:39:44,788: Master initialized: port[11311], uri[http://udacity:11311/]
[rosmaster.master][INFO] 2017-07-10 15:39:44,895: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:44,897: +PARAM [/roslaunch/uris/host_udacity__46083] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,098: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,098: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,098: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,098: +PARAM [/robot_description_kinematics/arm_group/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,098: +PARAM [/robot_description_planning/joint_limits/joint_6/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,098: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/max_degree] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,098: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,098: +PARAM [/robot_description_planning/joint_limits/joint_6/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,099: +PARAM [/move_group/planner_configs/SPARSkConfigDefault/sparse_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,099: +PARAM [/move_group/planner_configs/FMTkConfigDefault/radius_multiplier] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,099: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,099: +PARAM [/robot_description_planning/joint_limits/joint_6/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,099: +PARAM [/move_group/planner_configs/BFMTkConfigDefault/cache_cc] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,099: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,099: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,099: +PARAM [/move_group/planner_configs/BiTRRTkConfigDefault/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,099: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/sparse_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,099: +PARAM [/robot_description_planning/joint_limits/right_gripper_finger_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,099: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,100: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,100: +PARAM [/robot_description_planning/joint_limits/right_gripper_finger_joint/has_acceleration_limits] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,100: +PARAM [/move_group/planner_configs/PRMkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,100: +PARAM [/move_group/planner_configs/BiESTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,100: +PARAM [/move_group/planner_configs/ESTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,100: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,100: +PARAM [/move_group/planner_configs/BiTRRTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,100: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,100: +PARAM [/robot_description_planning/joint_limits/joint_4/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-10 15:39:45,100: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/max_failures] by /roslaunch
