[rosmaster.main][INFO] 2025-06-13 08:25:43,712: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-13 08:25:43,712: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-13 08:25:43,713: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-13 08:25:43,713: Started XML-RPC server [http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-13 08:25:43,713: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-13 08:25:43,713: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-13 08:25:43,804: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,805: +PARAM [/roslaunch/uris/host_192_168_1_124__43939] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,840: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:37711/
[rosmaster.master][INFO] 2025-06-13 08:25:43,840: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:37711/
[rosmaster.master][INFO] 2025-06-13 08:25:43,843: +PUB [/rosout_agg] /rosout http://192.168.1.124:37711/
[rosmaster.master][INFO] 2025-06-13 08:25:43,845: +SUB [/rosout] /rosout http://192.168.1.124:37711/
[rosmaster.master][INFO] 2025-06-13 08:25:43,850: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,850: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,850: +PARAM [/move_base/TrajectoryPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,850: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,850: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,850: +PARAM [/move_base/global_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,850: +PARAM [/move_base/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,850: +PARAM [/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,850: +PARAM [/move_base/global_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,850: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/global_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/amcl/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/global_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/TrajectoryPlannerROS/pdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/TrajectoryPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/base_global_planner] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/local_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,851: +PARAM [/move_base/TrajectoryPlannerROS/vtheta_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/move_base/global_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/move_base/local_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/move_base/global_costmap/map_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/move_base/TrajectoryPlannerROS/gdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/move_base/local_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/move_base/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/move_base/global_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/amcl/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/move_base/global_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/amcl/odom_alpha5] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/move_base/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/move_base/global_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,852: +PARAM [/amcl/odom_alpha1] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/amcl/odom_alpha2] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/amcl/odom_alpha3] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/move_base/debug] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/move_base/local_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/amcl/odom_alpha4] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/move_base/global_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/amcl/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/move_base/TrajectoryPlannerROS/holonomic_robot] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/move_base/local_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/move_base/global_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/move_base/TrajectoryPlannerROS/min_in_place_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/move_base/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/move_base/base_local_planner] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/amcl/initial_pose_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/amcl/initial_pose_y] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,853: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,854: +PARAM [/move_base/local_costmap/map_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,854: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,854: +PARAM [/move_base/global_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,854: +PARAM [/move_base/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,854: +PARAM [/move_base/global_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,854: +PARAM [/move_base/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:25:43,868: +PUB [/rosout] /map_server http://192.168.1.124:45171/
[rosmaster.master][INFO] 2025-06-13 08:25:43,868: +SERVICE [/map_server/get_loggers] /map_server http://192.168.1.124:45171/
[rosmaster.master][INFO] 2025-06-13 08:25:43,869: +SERVICE [/map_server/set_logger_level] /map_server http://192.168.1.124:45171/
[rosmaster.master][INFO] 2025-06-13 08:25:43,879: +PUB [/rosout] /amcl http://192.168.1.124:40895/
[rosmaster.master][INFO] 2025-06-13 08:25:43,887: +SERVICE [/amcl/get_loggers] /amcl http://192.168.1.124:40895/
[rosmaster.master][INFO] 2025-06-13 08:25:43,890: +SERVICE [/amcl/set_logger_level] /amcl http://192.168.1.124:40895/
[rosmaster.master][INFO] 2025-06-13 08:25:43,891: +PUB [/rosout] /move_base http://192.168.1.124:46645/
[rosmaster.master][INFO] 2025-06-13 08:25:43,903: +SERVICE [/move_base/get_loggers] /move_base http://192.168.1.124:46645/
[rosmaster.master][INFO] 2025-06-13 08:25:43,913: publisherUpdate[/rosout] -> http://192.168.1.124:37711/ ['http://192.168.1.124:45171/']
[rosmaster.master][INFO] 2025-06-13 08:25:43,913: +SERVICE [/move_base/set_logger_level] /move_base http://192.168.1.124:46645/
[rosmaster.master][INFO] 2025-06-13 08:25:43,914: +SERVICE [/static_map] /map_server http://192.168.1.124:45171/
[rosmaster.master][INFO] 2025-06-13 08:25:43,915: publisherUpdate[/rosout] -> http://192.168.1.124:37711/ ['http://192.168.1.124:45171/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-13 08:25:43,915: publisherUpdate[/rosout] -> http://192.168.1.124:37711/ ['http://192.168.1.124:45171/', 'http://192.168.1.124:40895/']
[rosmaster.master][INFO] 2025-06-13 08:25:43,916: publisherUpdate[/rosout] -> http://192.168.1.124:37711/ ['http://192.168.1.124:45171/', 'http://192.168.1.124:40895/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-13 08:25:43,916: publisherUpdate[/rosout] -> http://192.168.1.124:37711/ ['http://192.168.1.124:45171/', 'http://192.168.1.124:40895/', 'http://192.168.1.124:46645/']
[rosmaster.master][INFO] 2025-06-13 08:25:43,917: publisherUpdate[/rosout] -> http://192.168.1.124:37711/ ['http://192.168.1.124:45171/', 'http://192.168.1.124:40895/', 'http://192.168.1.124:46645/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-13 08:25:43,917: +PUB [/map_metadata] /map_server http://192.168.1.124:45171/
[rosmaster.master][INFO] 2025-06-13 08:25:43,919: +PUB [/map] /map_server http://192.168.1.124:45171/
[rosmaster.master][INFO] 2025-06-13 08:25:43,922: +SUB [/tf] /move_base http://192.168.1.124:46645/
[rosmaster.master][INFO] 2025-06-13 08:25:43,927: +SUB [/tf_static] /move_base http://192.168.1.124:46645/
[rosmaster.master][INFO] 2025-06-13 08:25:43,978: +PUB [/cmd_vel] /move_base http://192.168.1.124:46645/
[rosmaster.master][INFO] 2025-06-13 08:25:43,979: +PUB [/move_base/current_goal] /move_base http://192.168.1.124:46645/
[rosmaster.master][INFO] 2025-06-13 08:25:43,980: +PUB [/tf] /amcl http://192.168.1.124:40895/
[rosmaster.master][INFO] 2025-06-13 08:25:43,980: +PUB [/move_base/goal] /move_base http://192.168.1.124:46645/
[rosmaster.master][INFO] 2025-06-13 08:25:43,981: +PUB [/move_base/recovery_status] /move_base http://192.168.1.124:46645/
[rosmaster.master][INFO] 2025-06-13 08:25:43,985: +SUB [/tf] /amcl http://192.168.1.124:40895/
[rosmaster.master][INFO] 2025-06-13 08:25:43,985: +SUB [/move_base_simple/goal] /move_base http://192.168.1.124:46645/
[rosmaster.master][INFO] 2025-06-13 08:25:44,000: +SUB [/tf_static] /amcl http://192.168.1.124:40895/
[rosmaster.master][INFO] 2025-06-13 08:25:44,000: +PUB [/amcl_pose] /amcl http://192.168.1.124:40895/
[rosmaster.master][INFO] 2025-06-13 08:25:44,004: +PUB [/particlecloud] /amcl http://192.168.1.124:40895/
[rosmaster.master][INFO] 2025-06-13 08:25:44,007: +SERVICE [/global_localization] /amcl http://192.168.1.124:40895/
[rosmaster.master][INFO] 2025-06-13 08:25:44,012: +SERVICE [/request_nomotion_update] /amcl http://192.168.1.124:40895/
[rosmaster.master][INFO] 2025-06-13 08:25:44,012: +SERVICE [/set_map] /amcl http://192.168.1.124:40895/
[rosmaster.master][INFO] 2025-06-13 08:25:44,014: +SUB [/scan] /amcl http://192.168.1.124:40895/
[rosmaster.master][INFO] 2025-06-13 08:25:44,017: +SUB [/initialpose] /amcl http://192.168.1.124:40895/
[rosmaster.master][INFO] 2025-06-13 08:25:44,017: publisherUpdate[/tf] -> http://192.168.1.124:46645/ ['http://192.168.1.124:40895/']
[rosmaster.master][INFO] 2025-06-13 08:25:44,018: publisherUpdate[/tf] -> http://192.168.1.124:46645/ ['http://192.168.1.124:40895/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-13 08:25:44,625: +SERVICE [/amcl/set_parameters] /amcl http://192.168.1.124:40895/
[rosmaster.master][INFO] 2025-06-13 08:25:44,625: +PUB [/amcl/parameter_descriptions] /amcl http://192.168.1.124:40895/
[rosmaster.master][INFO] 2025-06-13 08:25:44,626: +PUB [/amcl/parameter_updates] /amcl http://192.168.1.124:40895/
[rosmaster.master][INFO] 2025-06-13 08:25:44,647: +PARAM [/amcl/min_particles] by /amcl
[rosmaster.master][INFO] 2025-06-13 08:25:44,648: +PARAM [/amcl/max_particles] by /amcl
[rosmaster.master][INFO] 2025-06-13 08:25:44,648: +PARAM [/amcl/kld_err] by /amcl
[rosmaster.master][INFO] 2025-06-13 08:25:44,649: +PARAM [/amcl/kld_z] by /amcl
[rosmaster.master][INFO] 2025-06-13 08:25:44,651: +PARAM [/amcl/update_min_d] by /amcl
[rosmaster.master][INFO] 2025-06-13 08:25:44,651: +PARAM [/amcl/update_min_a] by /amcl
[rosmaster.master][INFO] 2025-06-13 08:25:44,652: +PARAM [/amcl/resample_interval] by /amcl
[rosmaster.master][INFO] 2025-06-13 08:25:44,652: +PARAM [/amcl/transform_tolerance] by /amcl
