[rosmaster.main][INFO] 2025-06-11 18:22:25,254: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-11 18:22:25,254: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-11 18:22:25,255: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-11 18:22:25,255: Started XML-RPC server [http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-11 18:22:25,255: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-11 18:22:25,255: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-11 18:22:25,291: +SERVICE [/amcl/set_parameters] /amcl http://192.168.1.124:40273/
[rosmaster.master][INFO] 2025-06-11 18:22:25,292: +PUB [/amcl/parameter_descriptions] /amcl http://192.168.1.124:40273/
[rosmaster.master][INFO] 2025-06-11 18:22:25,293: +PUB [/amcl/parameter_updates] /amcl http://192.168.1.124:40273/
[rosmaster.master][INFO] 2025-06-11 18:22:25,310: +PARAM [/amcl/min_particles] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,310: +PARAM [/amcl/max_particles] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,311: +PARAM [/amcl/kld_err] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,311: +PARAM [/amcl/kld_z] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,312: +PARAM [/amcl/update_min_d] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,312: +PARAM [/amcl/update_min_a] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,313: +PARAM [/amcl/resample_interval] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,313: +PARAM [/amcl/transform_tolerance] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,314: +PARAM [/amcl/recovery_alpha_slow] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,314: +PARAM [/amcl/recovery_alpha_fast] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,315: +PARAM [/amcl/do_beamskip] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,316: +PARAM [/amcl/beam_skip_distance] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,316: +PARAM [/amcl/beam_skip_threshold] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,317: +PARAM [/amcl/tf_broadcast] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,317: +PARAM [/amcl/gui_publish_rate] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,317: +PARAM [/amcl/save_pose_rate] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,318: +PARAM [/amcl/use_map_topic] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,318: +PARAM [/amcl/first_map_only] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,319: +PARAM [/amcl/laser_min_range] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,319: +PARAM [/amcl/laser_max_range] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,320: +PARAM [/amcl/laser_max_beams] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,320: +PARAM [/amcl/laser_z_hit] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,321: +PARAM [/amcl/laser_z_short] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,322: +PARAM [/amcl/laser_z_max] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,322: +PARAM [/amcl/laser_z_rand] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,323: +PARAM [/amcl/laser_sigma_hit] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,323: +PARAM [/amcl/laser_lambda_short] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,324: +PARAM [/amcl/laser_likelihood_max_dist] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,324: +PARAM [/amcl/laser_model_type] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,325: +PARAM [/amcl/odom_model_type] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,325: +PARAM [/amcl/odom_alpha1] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,326: +PARAM [/amcl/odom_alpha2] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,326: +PARAM [/amcl/odom_alpha3] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,327: +PARAM [/amcl/odom_alpha4] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,327: +PARAM [/amcl/odom_alpha5] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,328: +PARAM [/amcl/odom_frame_id] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,328: +PARAM [/amcl/base_frame_id] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,329: +PARAM [/amcl/global_frame_id] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,329: +PARAM [/amcl/restore_defaults] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,330: +PARAM [/amcl/min_particles] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,330: +PARAM [/amcl/max_particles] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,331: +PARAM [/amcl/kld_err] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,331: +PARAM [/amcl/kld_z] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,332: +PARAM [/amcl/update_min_d] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,332: +PARAM [/amcl/update_min_a] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,333: +PARAM [/amcl/resample_interval] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,333: +PARAM [/amcl/transform_tolerance] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,334: +PARAM [/amcl/recovery_alpha_slow] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,334: +PARAM [/amcl/recovery_alpha_fast] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,335: +PARAM [/amcl/do_beamskip] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,335: +PARAM [/amcl/beam_skip_distance] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,336: +PARAM [/amcl/beam_skip_threshold] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,336: +PARAM [/amcl/tf_broadcast] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,337: +PARAM [/amcl/gui_publish_rate] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,337: +PARAM [/amcl/save_pose_rate] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,338: +PARAM [/amcl/use_map_topic] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,338: +PARAM [/amcl/first_map_only] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,339: +PARAM [/amcl/laser_min_range] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,339: +PARAM [/amcl/laser_max_range] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,340: +PARAM [/amcl/laser_max_beams] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,340: +PARAM [/amcl/laser_z_hit] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,341: +PARAM [/amcl/laser_z_short] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,341: +PARAM [/amcl/laser_z_max] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,342: +PARAM [/amcl/laser_z_rand] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,342: +PARAM [/amcl/laser_sigma_hit] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,343: +PARAM [/amcl/laser_lambda_short] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,343: +PARAM [/amcl/laser_likelihood_max_dist] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,343: +PARAM [/amcl/laser_model_type] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,344: +PARAM [/amcl/odom_model_type] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,344: +PARAM [/amcl/odom_alpha1] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,345: +PARAM [/amcl/odom_alpha2] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,345: +PARAM [/amcl/odom_alpha3] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,346: +PARAM [/amcl/odom_alpha4] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,346: +PARAM [/amcl/odom_alpha5] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,347: +PARAM [/amcl/odom_frame_id] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,347: +PARAM [/amcl/base_frame_id] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,348: +PARAM [/amcl/global_frame_id] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,348: +PARAM [/amcl/restore_defaults] by /amcl
[rosmaster.master][INFO] 2025-06-11 18:22:25,352: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:22:25,353: +PARAM [/roslaunch/uris/host_192_168_1_124__37809] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:22:25,385: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:22:25,385: +PARAM [/move_base/TrajectoryPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:22:25,385: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:22:25,385: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:22:25,385: +PARAM [/move_base/global_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:22:25,385: +PARAM [/move_base/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:22:25,385: +PARAM [/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:22:25,385: +PARAM [/move_base/global_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:22:25,386: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:22:25,386: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:22:25,386: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:22:25,386: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:44091/
[rosmaster.master][INFO] 2025-06-11 18:22:25,386: +PARAM [/move_base/global_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-11 18:22:25,386: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
