[rosmaster.main][INFO] 2025-06-28 18:52:30,394: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-28 18:52:30,394: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-28 18:52:30,395: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-28 18:52:30,395: Started XML-RPC server [http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-28 18:52:30,395: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-28 18:52:30,395: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-28 18:52:30,491: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,492: +PARAM [/roslaunch/uris/host_192_168_1_124__36523] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,522: +PARAM [/rtabmap/rtabmap/Reg/Strategy] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,522: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,522: +PARAM [/rtabmap/rtabmap/subscribe_depth] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,522: +PARAM [/rtabmap/rtabmapviz/subscribe_depth] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,522: +PARAM [/rtabmap/rtabmap/Vis/MinInliers] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,522: +PARAM [/rtabmap/rtabmap/Kp/DetectorStrategy] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,522: +PARAM [/rtabmap/rtabmap/SURF/HessianThreshold] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,522: +PARAM [/rtabmap/rtabmapviz/frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,522: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,522: +PARAM [/rtabmap/rtabmap/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,522: +PARAM [/rtabmap/rtabmap/Kp/MaxFeatures] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,522: +PARAM [/rtabmap/rtabmapviz/subscribe_scan] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,522: +PARAM [/rtabmap/rtabmap/Mem/NotLinkedNodesKept] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,522: +PARAM [/rtabmap/rtabmap/subscribe_scan] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,522: +PARAM [/rtabmap/rtabmap/Rtabmap/DetectionRate] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,523: +PARAM [/rtabmap/rtabmap/frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,523: +PARAM [/rtabmap/rtabmap/database_path] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,523: +PARAM [/rtabmap/rtabmap/Reg/Force3DoF] by /roslaunch
[rosmaster.master][INFO] 2025-06-28 18:52:30,525: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:40569/
[rosmaster.master][INFO] 2025-06-28 18:52:30,525: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:40569/
[rosmaster.master][INFO] 2025-06-28 18:52:30,527: +PUB [/rosout_agg] /rosout http://192.168.1.124:40569/
[rosmaster.master][INFO] 2025-06-28 18:52:30,534: +SUB [/rosout] /rosout http://192.168.1.124:40569/
[rosmaster.master][INFO] 2025-06-28 18:52:30,629: +PUB [/rosout] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,630: +SERVICE [/rtabmap/rtabmap/get_loggers] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,630: +SERVICE [/rtabmap/rtabmap/set_logger_level] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,632: +SERVICE [/rtabmap/rtabmap/load_nodelet] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,633: +SERVICE [/rtabmap/rtabmap/unload_nodelet] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,633: +SERVICE [/rtabmap/rtabmap/list] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,675: +PUB [/tf] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,678: +SUB [/tf] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,682: +SUB [/tf_static] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,695: publisherUpdate[/rosout] -> http://192.168.1.124:40569/ ['http://192.168.1.124:40193/']
[rosmaster.master][INFO] 2025-06-28 18:52:30,695: publisherUpdate[/rosout] -> http://192.168.1.124:40569/ ['http://192.168.1.124:40193/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-28 18:52:30,697: +PUB [/map] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,697: +PUB [/rtabmap/grid_prob_map] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,698: +PUB [/rtabmap/cloud_map] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,698: +PUB [/rtabmap/cloud_obstacles] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,699: +PUB [/rtabmap/cloud_ground] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,699: +PUB [/rtabmap/proj_map] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,700: +PUB [/rtabmap/scan_map] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,700: +PUB [/rtabmap/octomap_binary] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,701: +PUB [/rtabmap/octomap_full] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,701: +PUB [/rtabmap/octomap_occupied_space] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,702: +PUB [/rtabmap/octomap_global_frontier_space] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,702: +PUB [/rtabmap/octomap_obstacles] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,703: +PUB [/rtabmap/octomap_ground] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,703: +PUB [/rtabmap/octomap_empty_space] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,704: +PUB [/rtabmap/octomap_grid] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,705: +PUB [/rosout] /rtabmap/rtabmapviz http://192.168.1.124:36683/
[rosmaster.master][INFO] 2025-06-28 18:52:30,706: +SERVICE [/rtabmap/rtabmapviz/get_loggers] /rtabmap/rtabmapviz http://192.168.1.124:36683/
[rosmaster.master][INFO] 2025-06-28 18:52:30,707: +SERVICE [/rtabmap/rtabmapviz/set_logger_level] /rtabmap/rtabmapviz http://192.168.1.124:36683/
[rosmaster.master][INFO] 2025-06-28 18:52:30,712: +SUB [/tf] /rtabmap/rtabmapviz http://192.168.1.124:36683/
[rosmaster.master][INFO] 2025-06-28 18:52:30,716: +SUB [/tf_static] /rtabmap/rtabmapviz http://192.168.1.124:36683/
[rosmaster.master][INFO] 2025-06-28 18:52:30,725: +PUB [/rtabmap/info] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,725: +PUB [/rtabmap/mapData] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,726: +PUB [/rtabmap/mapGraph] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,726: +PUB [/rtabmap/landmarks] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,727: +PUB [/rtabmap/labels] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,728: +PUB [/rtabmap/mapPath] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,728: +PUB [/rtabmap/local_grid_obstacle] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,729: +PUB [/rtabmap/local_grid_empty] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,729: +PUB [/rtabmap/local_grid_ground] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,730: +PUB [/rtabmap/localization_pose] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,732: +SUB [/rtabmap/initialpose] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,735: +SUB [/rtabmap/goal] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,738: +SUB [/rtabmap/goal_node] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,738: +PUB [/rtabmap/goal_out] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,739: +PUB [/rtabmap/goal_reached] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,739: +PUB [/rtabmap/global_path] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,740: +PUB [/rtabmap/local_path] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,740: +PUB [/rtabmap/global_path_nodes] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,741: +PUB [/rtabmap/local_path_nodes] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:30,795: publisherUpdate[/rosout] -> http://192.168.1.124:40569/ ['http://192.168.1.124:40193/', 'http://192.168.1.124:36683/']
[rosmaster.master][INFO] 2025-06-28 18:52:30,796: publisherUpdate[/rosout] -> http://192.168.1.124:40569/ ['http://192.168.1.124:40193/', 'http://192.168.1.124:36683/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-28 18:52:31,907: +SERVICE [/rtabmap/update_parameters] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:31,908: +SERVICE [/rtabmap/reset] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:31,908: +SERVICE [/rtabmap/pause] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:31,909: +SERVICE [/rtabmap/resume] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:31,909: +SERVICE [/rtabmap/trigger_new_map] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:31,910: +SERVICE [/rtabmap/backup] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:31,911: +SERVICE [/rtabmap/set_mode_localization] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:31,911: +SERVICE [/rtabmap/set_mode_mapping] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:31,912: +SERVICE [/rtabmap/get_node_data] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:31,912: +SERVICE [/rtabmap/get_map_data] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:31,913: +SERVICE [/rtabmap/get_map_data2] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:31,914: +SERVICE [/rtabmap/get_map] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:31,914: +SERVICE [/rtabmap/get_prob_map] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:31,915: +SERVICE [/rtabmap/get_grid_map] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:31,915: +SERVICE [/rtabmap/get_proj_map] /rtabmap/rtabmap http://192.168.1.124:40193/
[rosmaster.master][INFO] 2025-06-28 18:52:31,916: +SERVICE [/rtabmap/publish_map] /rtabmap/rtabmap http://192.168.1.124:40193/
