[rosmaster.main][INFO] 2017-07-11 11:28:57,734: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-07-11 11:28:57,735: Starting ROS Master Node
[xmlrpc][INFO] 2017-07-11 11:28:57,747: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-07-11 11:28:57,748: Started XML-RPC server [http://172.16.244.111:11311/]
[xmlrpc][INFO] 2017-07-11 11:28:57,748: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-07-11 11:28:57,748: Master initialized: port[11311], uri[http://172.16.244.111:11311/]
[rosmaster.master][INFO] 2017-07-11 11:28:57,831: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-07-11 11:28:57,833: +PARAM [/roslaunch/uris/host_172_16_244_111__45969] by /roslaunch
[rosmaster.master][INFO] 2017-07-11 11:28:57,896: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-11 11:28:57,896: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-11 11:28:58,053: +SERVICE [/rosout/get_loggers] /rosout http://172.16.244.111:44917/
[rosmaster.master][INFO] 2017-07-11 11:28:58,054: +SERVICE [/rosout/set_logger_level] /rosout http://172.16.244.111:44917/
[rosmaster.master][INFO] 2017-07-11 11:28:58,067: +PUB [/rosout_agg] /rosout http://172.16.244.111:44917/
[rosmaster.master][INFO] 2017-07-11 11:28:58,075: +SUB [/rosout] /rosout http://172.16.244.111:44917/
[rosmaster.master][INFO] 2017-07-11 11:32:54,292: -PUB [/rosout] / http://Kyles-MacBook-Pro.local:49342/
[rosmaster.master][INFO] 2017-07-11 11:39:48,673: -PUB [/rosout_agg] /rosout http://172.16.244.111:44917/
[rosmaster.master][INFO] 2017-07-11 11:39:48,674: -SUB [/rosout] /rosout http://172.16.244.111:44917/
[rosmaster.master][INFO] 2017-07-11 11:39:48,676: -SERVICE [/rosout/get_loggers] /rosout rosrpc://172.16.244.111:34219
[rosmaster.master][INFO] 2017-07-11 11:39:48,677: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://172.16.244.111:34219
[rosmaster.main][INFO] 2017-07-11 11:39:48,737: keyboard interrupt, will exit
[rosmaster.main][INFO] 2017-07-11 11:39:48,737: stopping master...
[rospy.core][INFO] 2017-07-11 11:39:48,737: signal_shutdown [atexit]
