[rosmaster.main][INFO] 2025-06-15 05:39:41,434: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-15 05:39:41,434: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-15 05:39:41,435: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-15 05:39:41,435: Started XML-RPC server [http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-15 05:39:41,435: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-15 05:39:41,435: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-15 05:39:41,514: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,515: +PARAM [/roslaunch/uris/host_192_168_1_124__45027] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,560: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:39673/
[rosmaster.master][INFO] 2025-06-15 05:39:41,561: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:39673/
[rosmaster.master][INFO] 2025-06-15 05:39:41,566: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,566: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,566: +PARAM [/move_base/TrajectoryPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,566: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,566: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,566: +PARAM [/move_base/global_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,566: +PARAM [/move_base/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,567: +PARAM [/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,567: +PARAM [/move_base/global_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,567: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,567: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,567: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,567: +PARAM [/move_base/global_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,567: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,567: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,567: +PARAM [/amcl/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,567: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,568: +PARAM [/move_base/global_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,568: +PARAM [/move_base/TrajectoryPlannerROS/pdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,568: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,568: +PARAM [/move_base/TrajectoryPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,568: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,568: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-15 05:39:41,568: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
