[rosmaster.main][INFO] 2025-06-02 19:45:46,063: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-02 19:45:46,063: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-02 19:45:46,064: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-02 19:45:46,064: Started XML-RPC server [http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-02 19:45:46,064: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-02 19:45:46,064: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-02 19:45:46,166: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-02 19:45:46,167: +PARAM [/roslaunch/uris/host_192_168_1_124__36197] by /roslaunch
[rosmaster.master][INFO] 2025-06-02 19:45:46,193: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-02 19:45:46,193: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-02 19:45:46,197: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:43787/
[rosmaster.master][INFO] 2025-06-02 19:45:46,197: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:43787/
[rosmaster.master][INFO] 2025-06-02 19:45:46,198: +PUB [/rosout_agg] /rosout http://192.168.1.124:43787/
[rosmaster.master][INFO] 2025-06-02 19:45:46,201: +SUB [/rosout] /rosout http://192.168.1.124:43787/
[rosmaster.master][INFO] 2025-06-02 19:47:13,848: -PUB [/rosout_agg] /rosout http://192.168.1.124:43787/
[rosmaster.master][INFO] 2025-06-02 19:47:13,848: -SUB [/rosout] /rosout http://192.168.1.124:43787/
[rosmaster.master][INFO] 2025-06-02 19:47:13,849: -SERVICE [/rosout/get_loggers] /rosout rosrpc://192.168.1.124:49729
[rosmaster.master][INFO] 2025-06-02 19:47:13,849: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://192.168.1.124:49729
[rosmaster.main][INFO] 2025-06-02 19:47:13,921: keyboard interrupt, will exit
[rosmaster.main][INFO] 2025-06-02 19:47:13,921: stopping master...
[rospy.core][INFO] 2025-06-02 19:47:13,921: signal_shutdown [atexit]
