[rosmaster.main][INFO] 2017-07-09 11:03:12,092: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-07-09 11:03:12,092: Starting ROS Master Node
[xmlrpc][INFO] 2017-07-09 11:03:12,094: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-07-09 11:03:12,095: Started XML-RPC server [http://udacity:11311/]
[xmlrpc][INFO] 2017-07-09 11:03:12,095: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-07-09 11:03:12,095: Master initialized: port[11311], uri[http://udacity:11311/]
[rosmaster.master][INFO] 2017-07-09 11:03:12,142: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 11:03:12,144: +PARAM [/roslaunch/uris/host_udacity__43039] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 11:03:12,193: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 11:03:12,194: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 11:03:12,198: +SERVICE [/rosout/get_loggers] /rosout http://udacity:37675/
[rosmaster.master][INFO] 2017-07-09 11:03:12,199: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:37675/
[rosmaster.master][INFO] 2017-07-09 11:03:12,201: +PUB [/rosout_agg] /rosout http://udacity:37675/
[rosmaster.master][INFO] 2017-07-09 11:03:12,206: +SUB [/rosout] /rosout http://udacity:37675/
[rosmaster.master][INFO] 2017-07-09 11:03:34,769: +PUB [/rosout] /rviz_1499623414765429779 http://udacity:41155/
[rosmaster.master][INFO] 2017-07-09 11:03:34,770: +SERVICE [/rviz_1499623414765429779/get_loggers] /rviz_1499623414765429779 http://udacity:41155/
[rosmaster.master][INFO] 2017-07-09 11:03:34,771: +SERVICE [/rviz_1499623414765429779/set_logger_level] /rviz_1499623414765429779 http://udacity:41155/
[rosmaster.master][INFO] 2017-07-09 11:03:34,781: publisherUpdate[/rosout] -> http://udacity:37675/ ['http://udacity:41155/']
[rosmaster.master][INFO] 2017-07-09 11:03:34,784: publisherUpdate[/rosout] -> http://udacity:37675/ ['http://udacity:41155/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2017-07-09 11:03:35,554: +SUB [/tf] /rviz_1499623414765429779 http://udacity:41155/
[rosmaster.master][INFO] 2017-07-09 11:03:35,558: +SUB [/tf_static] /rviz_1499623414765429779 http://udacity:41155/
[rosmaster.master][INFO] 2017-07-09 11:03:35,890: +PUB [/initialpose] /rviz_1499623414765429779 http://udacity:41155/
[rosmaster.master][INFO] 2017-07-09 11:03:35,892: +PUB [/goal] /rviz_1499623414765429779 http://udacity:41155/
[rosmaster.master][INFO] 2017-07-09 11:03:35,944: -PUB [/goal] /rviz_1499623414765429779 http://udacity:41155/
[rosmaster.master][INFO] 2017-07-09 11:03:35,945: -PUB [/initialpose] /rviz_1499623414765429779 http://udacity:41155/
[rosmaster.master][INFO] 2017-07-09 11:03:35,954: +PUB [/initialpose] /rviz_1499623414765429779 http://udacity:41155/
[rosmaster.master][INFO] 2017-07-09 11:03:35,956: +PUB [/goal] /rviz_1499623414765429779 http://udacity:41155/
[rosmaster.master][INFO] 2017-07-09 11:03:35,957: +PUB [/move_base_simple/goal] /rviz_1499623414765429779 http://udacity:41155/
[rosmaster.master][INFO] 2017-07-09 11:03:35,958: -PUB [/goal] /rviz_1499623414765429779 http://udacity:41155/
[rosmaster.master][INFO] 2017-07-09 11:03:35,959: +PUB [/clicked_point] /rviz_1499623414765429779 http://udacity:41155/
[rosmaster.master][INFO] 2017-07-09 11:03:36,947: +SERVICE [/rviz_1499623414765429779/reload_shaders] /rviz_1499623414765429779 http://udacity:41155/
