[rosmaster.main][INFO] 2017-07-09 17:51:19,461: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-07-09 17:51:19,461: Starting ROS Master Node
[xmlrpc][INFO] 2017-07-09 17:51:19,462: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-07-09 17:51:19,462: Started XML-RPC server [http://udacity:11311/]
[rosmaster.master][INFO] 2017-07-09 17:51:19,463: Master initialized: port[11311], uri[http://udacity:11311/]
[xmlrpc][INFO] 2017-07-09 17:51:19,463: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-07-09 17:51:19,513: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:51:19,514: +PARAM [/roslaunch/uris/host_udacity__40375] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:51:19,567: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:51:19,567: +PARAM [/target_description] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:51:19,567: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:51:19,568: +PARAM [/target_spawn/select_target_spawn] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:51:19,574: +SERVICE [/rosout/get_loggers] /rosout http://udacity:43351/
[rosmaster.master][INFO] 2017-07-09 17:51:19,580: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:43351/
[rosmaster.master][INFO] 2017-07-09 17:51:19,582: +PUB [/rosout_agg] /rosout http://udacity:43351/
[rosmaster.master][INFO] 2017-07-09 17:51:19,587: +SUB [/rosout] /rosout http://udacity:43351/
[rosmaster.master][INFO] 2017-07-09 17:51:19,734: +PARAM [/target_drop_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 17:51:19,735: +PARAM [/target_spawn_location] by /unnamed
[rosmaster.master][INFO] 2017-07-09 17:51:19,736: +PARAM [/target_description_argument] by /unnamed
[rosmaster.master][INFO] 2017-07-09 17:51:22,199: +PARAM [/roslaunch/uris/host_udacity__46857] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:51:22,211: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:51:22,211: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:51:22,579: +PARAM [/roslaunch/uris/host_udacity__43253] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:51:22,614: +PARAM [/kuka_arm/arm_controller/gains/joint_2/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:51:22,614: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:51:22,614: +PARAM [/kuka_arm/arm_controller/gains/joint_1/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:51:22,614: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-07-09 17:51:22,614: +PARAM [/use_sim_time] by /roslaunch
