[rosmaster.main][INFO] 2017-07-06 08:00:44,810: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-07-06 08:00:44,810: Starting ROS Master Node
[xmlrpc][INFO] 2017-07-06 08:00:44,812: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-07-06 08:00:44,812: Started XML-RPC server [http://udacity:11311/]
[xmlrpc][INFO] 2017-07-06 08:00:44,812: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-07-06 08:00:44,813: Master initialized: port[11311], uri[http://udacity:11311/]
[rosmaster.master][INFO] 2017-07-06 08:00:44,855: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:44,857: +PARAM [/roslaunch/uris/host_udacity__33991] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:44,918: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:44,918: +PARAM [/target_description] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:44,918: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:44,918: +PARAM [/target_spawn/select_target_spawn] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:44,978: +SERVICE [/rosout/get_loggers] /rosout http://udacity:44251/
[rosmaster.master][INFO] 2017-07-06 08:00:44,979: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:44251/
[rosmaster.master][INFO] 2017-07-06 08:00:44,982: +PUB [/rosout_agg] /rosout http://udacity:44251/
[rosmaster.master][INFO] 2017-07-06 08:00:44,988: +SUB [/rosout] /rosout http://udacity:44251/
[rosmaster.master][INFO] 2017-07-06 08:00:45,107: +PARAM [/target_drop_location] by /unnamed
[rosmaster.master][INFO] 2017-07-06 08:00:45,108: +PARAM [/target_spawn_location] by /unnamed
[rosmaster.master][INFO] 2017-07-06 08:00:45,109: +PARAM [/target_description_argument] by /unnamed
[rosmaster.master][INFO] 2017-07-06 08:00:47,259: +PARAM [/roslaunch/uris/host_udacity__37005] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,263: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,263: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,672: +PARAM [/roslaunch/uris/host_udacity__41331] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,698: +PARAM [/kuka_arm/arm_controller/gains/joint_2/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,698: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,699: +PARAM [/kuka_arm/arm_controller/gains/joint_1/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,699: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,699: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,699: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,699: +PARAM [/robot_description_kinematics/arm_group/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,699: +PARAM [/kuka_arm/arm_controller/gains/joint_2/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,699: +PARAM [/kuka_arm/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,700: +PARAM [/kuka_arm/arm_controller/gains/joint_1/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,700: +PARAM [/robot_description_planning/joint_limits/joint_3/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,700: +PARAM [/kuka_arm/arm_controller/gains/joint_2/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,700: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/max_degree] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,700: +PARAM [/kuka_arm/arm_controller/gains/joint_3/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,700: +PARAM [/robot_description_planning/joint_limits/joint_6/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,700: +PARAM [/kuka_arm/arm_controller/gains/joint_1/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,700: +PARAM [/move_group/planner_configs/FMTkConfigDefault/radius_multiplier] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,700: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,700: +PARAM [/robot_description_planning/joint_limits/joint_6/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,701: +PARAM [/move_group/planner_configs/BFMTkConfigDefault/cache_cc] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,701: +PARAM [/kuka_arm/arm_controller/gains/joint_5/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,701: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,701: +PARAM [/move_group/planner_configs/BiTRRTkConfigDefault/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,701: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/delay_collision_checking] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,701: +PARAM [/kuka_arm/arm_controller/gains/joint_4/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,701: +PARAM [/kuka_arm/gripper_controller/type] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,701: +PARAM [/kuka_arm/arm_controller/gains/joint_5/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,701: +PARAM [/robot_description_planning/joint_limits/right_gripper_finger_joint/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,702: +PARAM [/move_group/planner_configs/RRTstarkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,702: +PARAM [/kuka_arm/arm_controller/gains/joint_4/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,702: +PARAM [/kuka_arm/arm_controller/gains/joint_4/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,702: +PARAM [/move_group/planner_configs/PRMkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,702: +PARAM [/kuka_arm/arm_controller/gains/joint_5/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,702: +PARAM [/move_group/planner_configs/ESTkConfigDefault/range] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,702: +PARAM [/move_group/planner_configs/KPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,702: +PARAM [/kuka_arm/gripper_controller/gains/left_gripper_finger_joint/i] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,702: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/border_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,703: +PARAM [/robot_description_planning/joint_limits/joint_4/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,703: +PARAM [/kuka_arm/arm_controller/gains/joint_3/p] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,703: +PARAM [/move_group/planner_configs/SPARSkConfigDefault/sparse_delta_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,703: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/max_failures] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,703: +PARAM [/move_group/planner_configs/BiTRRTkConfigDefault/frountier_node_ratio] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,703: +PARAM [/move_group/planner_configs/PRMkConfigDefault/max_nearest_neighbors] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,703: +PARAM [/move_group/planner_configs/BiTRRTkConfigDefault/cost_threshold] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,703: +PARAM [/move_group/planner_configs/TRRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,704: +PARAM [/move_group/planning_scene_monitor/publish_state_updates] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,704: +PARAM [/move_group/planner_configs/LBTRRTkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,704: +PARAM [/robot_description_planning/joint_limits/joint_6/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,704: +PARAM [/move_group/planner_configs/BKPIECEkConfigDefault/min_valid_path_fraction] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,704: +PARAM [/move_group/planner_configs/FMTkConfigDefault/type] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,704: +PARAM [/kuka_arm/gripper_controller/gains/left_gripper_finger_joint/d] by /roslaunch
[rosmaster.master][INFO] 2017-07-06 08:00:47,704: +PARAM [/move_group/planner_configs/LBTRRTkConfigDefault/epsilon] by /roslaunch
