[rosmaster.main][INFO] 2025-06-04 06:00:39,173: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-04 06:00:39,173: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-04 06:00:39,174: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-04 06:00:39,174: Started XML-RPC server [http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-04 06:00:39,174: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-04 06:00:39,174: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-04 06:00:39,275: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,276: +PARAM [/roslaunch/uris/host_192_168_1_124__39369] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,307: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,307: +PARAM [/move_base/TrajectoryPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,307: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,307: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,308: +PARAM [/move_base/global_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,308: +PARAM [/move_base/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,308: +PARAM [/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,308: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:44159/
[rosmaster.master][INFO] 2025-06-04 06:00:39,308: +PARAM [/move_base/global_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,308: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,308: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,309: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,309: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:44159/
[rosmaster.master][INFO] 2025-06-04 06:00:39,309: +PARAM [/move_base/global_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,309: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,310: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,310: +PARAM [/amcl/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,310: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,310: +PARAM [/move_base/global_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,310: +PARAM [/move_base/TrajectoryPlannerROS/pdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,310: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,311: +PUB [/rosout_agg] /rosout http://192.168.1.124:44159/
[rosmaster.master][INFO] 2025-06-04 06:00:39,311: +PARAM [/move_base/TrajectoryPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,311: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,311: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,311: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,311: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,312: +PARAM [/move_base/base_global_planner] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,312: +PARAM [/move_base/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,312: +PARAM [/move_base/local_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,312: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,312: +PARAM [/move_base/TrajectoryPlannerROS/vtheta_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,313: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,313: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,313: +PARAM [/move_base/global_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,314: +PARAM [/move_base/local_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,314: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,314: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,314: +PARAM [/move_base/global_costmap/map_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,314: +PARAM [/move_base/TrajectoryPlannerROS/gdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,315: +SUB [/rosout] /rosout http://192.168.1.124:44159/
[rosmaster.master][INFO] 2025-06-04 06:00:39,315: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,315: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,315: +PARAM [/move_base/global_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,315: +PARAM [/amcl/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,315: +PARAM [/move_base/global_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,315: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,315: +PARAM [/move_base/local_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,315: +PARAM [/move_base/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-04 06:00:39,315: +PARAM [/move_base/global_costmap/width] by /roslaunch
