[rosmaster.main][INFO] 2025-06-13 08:34:53,137: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-13 08:34:53,137: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-13 08:34:53,137: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-13 08:34:53,138: Started XML-RPC server [http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-13 08:34:53,138: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-13 08:34:53,138: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-13 08:34:53,229: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,231: +PARAM [/roslaunch/uris/host_192_168_1_124__44795] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,269: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,269: +PARAM [/move_base/local_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,269: +PARAM [/move_base/TrajectoryPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,269: +PARAM [/move_base/global_costmap/laser_scan_sensor/sensor_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,269: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,269: +PARAM [/move_base/global_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,269: +PARAM [/move_base/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,269: +PARAM [/amcl/odom_model_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,269: +PARAM [/move_base/global_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,269: +PARAM [/move_base/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,269: +PARAM [/move_base/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,269: +PARAM [/move_base/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,269: +PARAM [/move_base/global_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,269: +PARAM [/move_base/global_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,269: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,269: +PARAM [/amcl/global_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,269: +PARAM [/move_base/local_costmap/cost_scaling_factor] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,269: +PARAM [/move_base/global_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,270: +PARAM [/move_base/TrajectoryPlannerROS/pdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,270: +PARAM [/move_base/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,270: +PARAM [/move_base/TrajectoryPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,270: +PARAM [/move_base/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,270: +PARAM [/move_base/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,270: +PARAM [/move_base/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,270: +PARAM [/move_base/local_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,270: +PARAM [/move_base/base_global_planner] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,270: +PARAM [/move_base/global_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,270: +PARAM [/move_base/local_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,270: +PARAM [/move_base/TrajectoryPlannerROS/min_vel_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,270: +PARAM [/move_base/TrajectoryPlannerROS/vtheta_samples] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,270: +PARAM [/move_base/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,270: +PARAM [/move_base/local_costmap/inflation_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,270: +PARAM [/move_base/global_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,270: +PARAM [/move_base/local_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,270: +PARAM [/move_base/TrajectoryPlannerROS/acc_lim_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,271: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,271: +PARAM [/move_base/global_costmap/map_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,271: +PARAM [/move_base/TrajectoryPlannerROS/gdist_scale] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,271: +PARAM [/move_base/local_costmap/laser_scan_sensor/marking] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,271: +PARAM [/move_base/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,271: +PARAM [/move_base/TrajectoryPlannerROS/max_vel_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,271: +PARAM [/move_base/global_costmap/laser_scan_sensor/topic] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,271: +PARAM [/amcl/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,271: +PARAM [/move_base/global_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,271: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,271: +PARAM [/amcl/odom_alpha5] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,271: +PARAM [/move_base/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,271: +PARAM [/move_base/global_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,271: +PARAM [/amcl/odom_alpha1] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,271: +PARAM [/amcl/odom_alpha2] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,271: +PARAM [/amcl/odom_alpha3] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,271: +PARAM [/move_base/debug] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,272: +PARAM [/move_base/local_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,272: +PARAM [/move_base/local_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,272: +PARAM [/move_base/local_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,272: +PARAM [/amcl/odom_alpha4] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,272: +PARAM [/move_base/global_costmap/laser_scan_sensor/data_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,272: +PARAM [/amcl/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,272: +PARAM [/move_base/TrajectoryPlannerROS/holonomic_robot] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,272: +PARAM [/move_base/local_costmap/robot_radius] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,272: +PARAM [/move_base/global_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,272: +PARAM [/move_base/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,272: +PARAM [/move_base/TrajectoryPlannerROS/min_in_place_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,272: +PARAM [/move_base/local_costmap/observation_sources] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,272: +PARAM [/move_base/local_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,272: +PARAM [/move_base/base_local_planner] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,272: +PARAM [/amcl/initial_pose_x] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,272: +PARAM [/amcl/initial_pose_y] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,272: +PARAM [/move_base/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,272: +PARAM [/move_base/local_costmap/map_type] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,273: +PARAM [/move_base/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,273: +PARAM [/move_base/global_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,273: +PARAM [/move_base/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,273: +PARAM [/move_base/global_costmap/laser_scan_sensor/clearing] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,273: +PARAM [/move_base/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2025-06-13 08:34:53,299: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:40125/
[rosmaster.master][INFO] 2025-06-13 08:34:53,300: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:40125/
[rosmaster.master][INFO] 2025-06-13 08:34:53,302: +PUB [/rosout_agg] /rosout http://192.168.1.124:40125/
[rosmaster.master][INFO] 2025-06-13 08:34:53,321: +SUB [/rosout] /rosout http://192.168.1.124:40125/
[rosmaster.master][INFO] 2025-06-13 08:34:53,324: +PUB [/rosout] /map_server http://192.168.1.124:34505/
[rosmaster.master][INFO] 2025-06-13 08:34:53,324: +SERVICE [/map_server/get_loggers] /map_server http://192.168.1.124:34505/
[rosmaster.master][INFO] 2025-06-13 08:34:53,325: +SERVICE [/map_server/set_logger_level] /map_server http://192.168.1.124:34505/
[rosmaster.master][INFO] 2025-06-13 08:34:53,337: publisherUpdate[/rosout] -> http://192.168.1.124:40125/ ['http://192.168.1.124:34505/']
[rosmaster.master][INFO] 2025-06-13 08:34:53,339: publisherUpdate[/rosout] -> http://192.168.1.124:40125/ ['http://192.168.1.124:34505/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-13 08:34:53,340: +PUB [/rosout] /amcl http://192.168.1.124:40579/
[rosmaster.master][INFO] 2025-06-13 08:34:53,341: +SERVICE [/amcl/get_loggers] /amcl http://192.168.1.124:40579/
[rosmaster.master][INFO] 2025-06-13 08:34:53,341: +SERVICE [/amcl/set_logger_level] /amcl http://192.168.1.124:40579/
[rosmaster.master][INFO] 2025-06-13 08:34:53,390: +PUB [/rosout] /move_base http://192.168.1.124:45773/
[rosmaster.master][INFO] 2025-06-13 08:34:53,391: +SERVICE [/move_base/get_loggers] /move_base http://192.168.1.124:45773/
[rosmaster.master][INFO] 2025-06-13 08:34:53,392: +SERVICE [/move_base/set_logger_level] /move_base http://192.168.1.124:45773/
[rosmaster.master][INFO] 2025-06-13 08:34:53,398: +SUB [/tf] /move_base http://192.168.1.124:45773/
[rosmaster.master][INFO] 2025-06-13 08:34:53,402: +PUB [/tf] /amcl http://192.168.1.124:40579/
[rosmaster.master][INFO] 2025-06-13 08:34:53,402: +SUB [/tf_static] /move_base http://192.168.1.124:45773/
[rosmaster.master][INFO] 2025-06-13 08:34:53,405: +SUB [/tf] /amcl http://192.168.1.124:40579/
[rosmaster.master][INFO] 2025-06-13 08:34:53,405: +SERVICE [/static_map] /map_server http://192.168.1.124:34505/
[rosmaster.master][INFO] 2025-06-13 08:34:53,406: +PUB [/map_metadata] /map_server http://192.168.1.124:34505/
[rosmaster.master][INFO] 2025-06-13 08:34:53,407: +PUB [/map] /map_server http://192.168.1.124:34505/
[rosmaster.master][INFO] 2025-06-13 08:34:53,413: +SUB [/tf_static] /amcl http://192.168.1.124:40579/
[rosmaster.master][INFO] 2025-06-13 08:34:53,414: +PUB [/amcl_pose] /amcl http://192.168.1.124:40579/
[rosmaster.master][INFO] 2025-06-13 08:34:53,415: +PUB [/particlecloud] /amcl http://192.168.1.124:40579/
[rosmaster.master][INFO] 2025-06-13 08:34:53,415: +SERVICE [/global_localization] /amcl http://192.168.1.124:40579/
[rosmaster.master][INFO] 2025-06-13 08:34:53,416: +SERVICE [/request_nomotion_update] /amcl http://192.168.1.124:40579/
[rosmaster.master][INFO] 2025-06-13 08:34:53,417: +SERVICE [/set_map] /amcl http://192.168.1.124:40579/
[rosmaster.master][INFO] 2025-06-13 08:34:53,426: +SUB [/scan] /amcl http://192.168.1.124:40579/
[rosmaster.master][INFO] 2025-06-13 08:34:53,438: publisherUpdate[/rosout] -> http://192.168.1.124:40125/ ['http://192.168.1.124:34505/', 'http://192.168.1.124:40579/']
[rosmaster.master][INFO] 2025-06-13 08:34:53,438: publisherUpdate[/tf] -> http://192.168.1.124:45773/ ['http://192.168.1.124:40579/']
[rosmaster.master][INFO] 2025-06-13 08:34:53,439: publisherUpdate[/tf] -> http://192.168.1.124:45773/ ['http://192.168.1.124:40579/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-13 08:34:53,440: publisherUpdate[/rosout] -> http://192.168.1.124:40125/ ['http://192.168.1.124:34505/', 'http://192.168.1.124:40579/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-13 08:34:53,440: publisherUpdate[/rosout] -> http://192.168.1.124:40125/ ['http://192.168.1.124:34505/', 'http://192.168.1.124:40579/', 'http://192.168.1.124:45773/']
[rosmaster.master][INFO] 2025-06-13 08:34:53,440: publisherUpdate[/rosout] -> http://192.168.1.124:40125/ ['http://192.168.1.124:34505/', 'http://192.168.1.124:40579/', 'http://192.168.1.124:45773/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2025-06-13 08:34:53,441: +SUB [/initialpose] /amcl http://192.168.1.124:40579/
[rosmaster.master][INFO] 2025-06-13 08:34:53,459: +PUB [/cmd_vel] /move_base http://192.168.1.124:45773/
[rosmaster.master][INFO] 2025-06-13 08:34:53,460: +PUB [/move_base/current_goal] /move_base http://192.168.1.124:45773/
[rosmaster.master][INFO] 2025-06-13 08:34:53,461: +PUB [/move_base/goal] /move_base http://192.168.1.124:45773/
[rosmaster.master][INFO] 2025-06-13 08:34:53,462: +PUB [/move_base/recovery_status] /move_base http://192.168.1.124:45773/
