[rosmaster.main][INFO] 2017-05-22 12:22:18,810: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2017-05-22 12:22:18,810: Starting ROS Master Node
[xmlrpc][INFO] 2017-05-22 12:22:18,811: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2017-05-22 12:22:18,811: Started XML-RPC server [http://udacity:11311/]
[xmlrpc][INFO] 2017-05-22 12:22:18,811: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2017-05-22 12:22:18,811: Master initialized: port[11311], uri[http://udacity:11311/]
[rosmaster.master][INFO] 2017-05-22 12:22:18,876: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:18,880: +PARAM [/roslaunch/uris/host_udacity__37057] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:18,946: +SERVICE [/rosout/get_loggers] /rosout http://udacity:45427/
[rosmaster.master][INFO] 2017-05-22 12:22:18,947: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:18,947: +PARAM [/target_description] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:18,947: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:18,948: +PARAM [/target_spawn/select_target_spawn] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:18,952: +SERVICE [/rosout/set_logger_level] /rosout http://udacity:45427/
[rosmaster.master][INFO] 2017-05-22 12:22:18,953: +PUB [/rosout_agg] /rosout http://udacity:45427/
[rosmaster.master][INFO] 2017-05-22 12:22:18,957: +SUB [/rosout] /rosout http://udacity:45427/
[rosmaster.master][INFO] 2017-05-22 12:22:19,090: +PARAM [/target_drop_location] by /unnamed
[rosmaster.master][INFO] 2017-05-22 12:22:19,091: +PARAM [/target_spawn_location] by /unnamed
[rosmaster.master][INFO] 2017-05-22 12:22:19,092: +PARAM [/target_description_argument] by /unnamed
[rosmaster.master][INFO] 2017-05-22 12:22:21,564: +PARAM [/roslaunch/uris/host_udacity__43305] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,567: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,567: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,828: +PARAM [/roslaunch/uris/host_udacity__37811] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,851: +PARAM [/kuka_arm/arm_controller/gains/joint_2/d] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,851: +PARAM [/move_group/planner_configs/RRTkConfigDefault/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,851: +PARAM [/kuka_arm/arm_controller/gains/joint_1/i] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,851: +PARAM [/robot_description_semantic] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,851: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,851: +PARAM [/move_group/planner_configs/SPARStwokConfigDefault/stretch_factor] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,852: +PARAM [/robot_description_kinematics/arm_group/kinematics_solver_attempts] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,852: +PARAM [/kuka_arm/arm_controller/gains/joint_2/i] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,852: +PARAM [/kuka_arm/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,852: +PARAM [/kuka_arm/arm_controller/gains/joint_1/d] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,852: +PARAM [/robot_description_planning/joint_limits/joint_3/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,852: +PARAM [/kuka_arm/arm_controller/gains/joint_2/p] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,852: +PARAM [/move_group/planner_configs/STRIDEkConfigDefault/max_degree] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,852: +PARAM [/kuka_arm/arm_controller/gains/joint_3/d] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,852: +PARAM [/robot_description_planning/joint_limits/joint_6/max_velocity] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,852: +PARAM [/kuka_arm/arm_controller/gains/joint_1/p] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,852: +PARAM [/move_group/planner_configs/FMTkConfigDefault/radius_multiplier] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,852: +PARAM [/move_group/controller_list] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,852: +PARAM [/robot_description_planning/joint_limits/joint_6/max_acceleration] by /roslaunch
[rosmaster.master][INFO] 2017-05-22 12:22:21,852: +PARAM [/move_group/planner_configs/BFMTkConfigDefault/cache_cc] by /roslaunch
