[rosmaster.main][INFO] 2025-06-24 20:17:58,893: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2025-06-24 20:17:58,893: Starting ROS Master Node
[xmlrpc][INFO] 2025-06-24 20:17:58,894: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2025-06-24 20:17:58,894: Started XML-RPC server [http://192.168.1.124:11311/]
[xmlrpc][INFO] 2025-06-24 20:17:58,894: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2025-06-24 20:17:58,894: Master initialized: port[11311], uri[http://192.168.1.124:11311/]
[rosmaster.master][INFO] 2025-06-24 20:17:58,992: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:17:58,993: +PARAM [/roslaunch/uris/host_192_168_1_124__41823] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:17:59,022: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:17:59,022: +PARAM [/joint_state_publisher/use_gui] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:17:59,022: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:17:59,022: +PARAM [/robot_description] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:17:59,022: +PARAM [/use_sim_time] by /roslaunch
[rosmaster.master][INFO] 2025-06-24 20:17:59,025: +SERVICE [/rosout/get_loggers] /rosout http://192.168.1.124:45657/
[rosmaster.master][INFO] 2025-06-24 20:17:59,025: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.1.124:45657/
[rosmaster.master][INFO] 2025-06-24 20:17:59,038: +SUB [/clock] /rosout http://192.168.1.124:45657/
[rosmaster.master][INFO] 2025-06-24 20:17:59,039: +PUB [/rosout_agg] /rosout http://192.168.1.124:45657/
[rosmaster.master][INFO] 2025-06-24 20:17:59,047: +PUB [/rosout] /robot_state_publisher http://192.168.1.124:45101/
